season,daynum,wteam,wscore,lteam,lscore,wloc,numot
B,18,551,79,640,71,N,NA
B,18,625,68,559,61,H,NA
B,23,577,89,779,60,H,NA
B,23,587,65,576,61,H,NA
B,23,625,59,736,49,H,NA
B,23,627,79,764,66,A,NA
B,23,722,71,781,70,H,NA
B,23,780,63,513,57,H,NA
B,23,802,77,810,76,A,NA
B,23,827,74,826,66,H,NA
B,25,504,58,816,51,N,NA
B,25,511,83,708,72,N,NA
B,25,512,111,633,69,H,NA
B,25,515,127,632,74,H,NA
B,25,527,89,531,72,H,NA
B,25,528,85,593,54,A,NA
B,25,554,81,545,68,A,NA
B,25,564,75,536,67,A,NA
B,25,566,75,713,65,A,NA
B,25,567,67,555,54,H,NA
B,25,570,91,571,63,H,NA
B,25,577,86,827,57,H,NA
B,25,582,81,608,55,A,NA
B,25,587,44,627,41,H,NA
B,25,592,80,809,63,H,NA
B,25,595,96,811,70,H,NA
B,25,597,75,727,71,H,NA
B,25,599,86,616,56,H,NA
B,25,604,91,598,67,H,NA
B,25,606,74,850,49,H,NA
B,25,611,63,854,62,A,NA
B,25,623,68,622,63,A,NA
B,25,625,70,780,54,H,NA
B,25,628,81,834,66,N,NA
B,25,636,76,758,64,A,NA
B,25,637,73,677,53,H,NA
B,25,645,67,594,51,H,NA
B,25,655,90,800,59,H,NA
B,25,665,72,782,56,H,NA
B,25,668,78,534,61,H,NA
B,25,672,66,680,63,A,NA
B,25,695,68,590,53,H,NA
B,25,701,94,558,56,H,NA
B,25,715,61,797,55,H,NA
B,25,723,84,799,82,A,NA
B,25,749,78,521,77,N,NA
B,25,754,100,807,88,H,NA
B,25,786,106,848,51,H,NA
B,25,796,96,772,79,H,NA
B,25,801,86,819,67,H,NA
B,25,802,72,722,54,H,NA
B,25,805,64,518,57,H,NA
B,25,828,63,644,58,A,NA
B,25,842,80,730,54,H,NA
B,25,852,85,562,77,H,NA
B,26,504,79,749,58,N,NA
B,26,514,66,617,64,A,NA
B,26,521,74,816,54,N,NA
B,26,529,104,635,92,A,NA
B,26,533,65,745,56,H,NA
B,26,541,67,836,46,H,NA
B,26,544,66,777,57,H,NA
B,26,549,99,833,72,H,NA
B,26,551,70,553,47,H,NA
B,26,558,77,608,59,N,NA
B,26,568,87,588,73,A,NA
B,26,573,84,579,58,H,NA
B,26,583,81,589,64,A,NA
B,26,586,78,814,69,H,NA
B,26,599,73,528,68,H,NA
B,26,602,97,506,66,H,NA
B,26,603,77,552,67,A,NA
B,26,616,66,593,59,H,NA
B,26,626,88,600,76,H,NA
B,26,643,80,543,70,A,NA
B,26,648,76,778,73,A,NA
B,26,653,79,813,67,A,NA
B,26,654,66,580,63,H,NA
B,26,658,63,659,48,H,NA
B,26,669,69,825,66,A,NA
B,26,672,77,737,75,N,NA
B,26,673,101,765,55,H,NA
B,26,674,56,733,54,H,NA
B,26,675,78,716,61,H,NA
B,26,676,76,548,46,H,NA
B,26,685,103,634,91,A,NA
B,26,700,57,744,49,H,NA
B,26,701,69,582,53,H,NA
B,26,704,88,712,74,A,NA
B,26,721,95,812,68,H,NA
B,26,729,64,686,57,H,NA
B,26,741,91,766,57,A,NA
B,26,751,59,711,47,H,NA
B,26,771,60,720,56,H,NA
B,26,774,71,607,47,H,NA
B,26,788,93,664,74,H,NA
B,26,793,83,698,81,H,NA
B,26,794,68,693,62,H,NA
B,26,817,61,565,59,H,NA
B,26,841,74,526,69,H,NA
B,26,847,69,815,57,H,NA
B,26,849,49,666,46,N,NA
B,26,853,98,835,73,H,NA
B,27,504,77,672,74,N,NA
B,27,521,77,680,71,N,NA
B,27,556,82,575,80,H,NA
B,27,567,71,642,50,H,NA
B,27,587,68,740,47,H,NA
B,27,624,69,731,50,A,NA
B,27,660,82,845,55,H,NA
B,27,668,83,590,74,H,NA
B,27,703,78,801,55,N,NA
B,27,717,73,679,66,H,NA
B,27,737,82,749,58,N,NA
B,27,738,86,620,63,H,NA
B,27,756,66,781,64,A,NA
B,27,790,85,682,63,H,NA
B,27,799,76,692,68,H,NA
B,27,839,92,832,63,H,NA
B,28,516,96,685,90,A,NA
B,28,518,89,514,56,H,NA
B,28,527,82,700,40,H,NA
B,28,539,75,628,59,N,NA
B,28,552,71,503,63,A,NA
B,28,559,89,712,37,H,NA
B,28,562,70,677,68,H,NA
B,28,592,68,523,59,H,NA
B,28,598,53,784,49,H,NA
B,28,615,55,594,54,A,NA
B,28,623,92,571,51,H,NA
B,28,636,82,655,53,N,NA
B,28,645,64,657,53,A,NA
B,28,647,79,852,78,H,NA
B,28,671,83,586,45,H,NA
B,28,678,81,811,74,A,NA
B,28,695,44,729,41,H,NA
B,28,702,93,665,81,H,NA
B,28,704,74,533,72,A,NA
B,28,708,86,743,75,H,NA
B,28,714,68,844,51,H,NA
B,28,723,65,798,57,H,NA
B,28,724,84,812,55,H,NA
B,28,730,81,757,67,H,NA
B,28,788,118,543,87,H,NA
B,28,795,78,804,73,H,NA
B,28,796,80,705,73,A,NA
B,28,826,66,541,52,A,NA
B,28,830,93,769,70,N,NA
B,28,839,86,550,52,A,NA
B,28,847,67,610,63,A,NA
B,29,511,88,713,70,H,NA
B,29,529,85,574,77,H,NA
B,29,535,70,626,48,A,NA
B,29,538,87,652,70,H,NA
B,29,546,96,639,82,A,NA
B,29,561,70,534,62,H,NA
B,29,570,82,744,70,H,NA
B,29,583,57,510,48,A,NA
B,29,588,90,611,89,A,NA
B,29,589,82,555,77,A,NA
B,29,596,66,558,62,A,NA
B,29,597,85,758,77,H,NA
B,29,599,77,771,65,H,NA
B,29,603,75,506,37,H,NA
B,29,604,85,605,47,H,NA
B,29,606,74,683,58,H,NA
B,29,608,80,819,67,H,NA
B,29,612,89,642,68,A,NA
B,29,613,76,803,48,H,NA
B,29,629,87,508,58,H,NA
B,29,636,85,539,67,N,NA
B,29,637,80,814,54,H,NA
B,29,654,71,782,50,A,NA
B,29,655,70,628,60,N,NA
B,29,662,93,619,55,H,NA
B,29,670,87,520,63,H,NA
B,29,673,76,843,61,H,NA
B,29,674,71,734,42,H,NA
B,29,675,77,761,63,H,NA
B,29,692,60,731,49,H,NA
B,29,698,83,842,66,H,NA
B,29,715,70,537,49,H,NA
B,29,717,69,855,48,H,NA
B,29,725,91,754,66,H,NA
B,29,726,81,732,64,H,NA
B,29,738,65,836,56,A,NA
B,29,740,82,797,59,A,NA
B,29,746,73,838,67,H,NA
B,29,753,66,756,51,A,NA
B,29,772,68,632,54,H,NA
B,29,777,74,644,69,A,NA
B,29,781,69,566,60,A,NA
B,29,794,59,557,58,A,NA
B,29,799,75,813,60,A,NA
B,29,801,92,733,64,H,NA
B,29,817,85,633,79,H,NA
B,29,821,60,822,41,A,NA
B,29,825,81,774,59,H,NA
B,29,830,75,663,68,N,NA
B,29,834,69,845,52,A,NA
B,29,840,95,536,44,H,NA
B,29,853,71,549,69,A,NA
B,29,854,73,616,65,A,NA
B,30,539,59,663,55,N,NA
B,30,554,77,512,68,N,NA
B,30,577,72,802,67,N,NA
B,30,578,79,777,68,H,NA
B,30,615,65,590,61,A,NA
B,30,620,69,621,64,H,NA
B,30,625,74,587,73,N,NA
B,30,636,80,830,63,N,NA
B,30,695,67,643,52,H,NA
B,30,701,96,543,64,H,NA
B,30,721,84,751,51,H,NA
B,30,724,86,515,81,H,NA
B,30,737,100,648,88,H,NA
B,30,743,87,850,55,H,NA
B,30,769,74,655,68,N,NA
B,30,783,88,815,52,N,NA
B,30,784,71,847,68,H,NA
B,30,793,86,741,79,H,NA
B,30,805,83,593,50,H,NA
B,30,826,88,690,83,A,NA
B,30,848,83,809,78,A,NA
B,31,533,62,502,58,A,NA
B,31,640,87,786,53,N,NA
B,31,828,54,745,50,H,NA
B,32,520,93,553,58,H,NA
B,32,535,66,801,63,N,NA
B,32,551,78,570,71,N,NA
B,32,554,82,783,78,N,NA
B,32,556,78,518,72,N,NA
B,32,559,72,854,39,H,NA
B,32,562,74,592,73,N,NA
B,32,595,79,742,54,H,NA
B,32,597,87,712,71,H,NA
B,32,604,90,600,56,H,NA
B,32,606,91,740,60,H,NA
B,32,613,80,574,68,H,NA
B,32,623,73,788,67,N,NA
B,32,625,85,577,69,N,NA
B,32,645,67,538,65,N,NA
B,32,651,92,681,78,N,NA
B,32,661,71,811,61,A,NA
B,32,676,83,547,74,N,NA
