season,daynum,wteam,wscore,lteam,lscore,wloc,numot
C,15,695,47,604,45,N,NA
C,15,701,98,818,76,H,NA
C,15,736,62,793,56,H,NA
C,15,789,68,518,42,N,NA
C,16,604,89,793,87,N,NA
C,16,736,38,695,36,H,NA
C,18,518,70,809,63,A,NA
C,18,536,73,754,59,A,NA
C,18,551,67,816,50,H,NA
C,18,562,81,677,59,H,NA
C,18,570,77,766,73,A,NA
C,18,595,65,742,53,A,NA
C,18,599,101,619,64,H,NA
C,18,628,105,548,60,H,NA
C,18,636,99,758,73,H,NA
C,18,637,93,833,74,H,NA
C,18,660,65,849,60,A,NA
C,18,668,73,749,61,A,NA
C,18,673,68,829,55,H,NA
C,18,708,84,672,56,H,NA
C,18,738,119,648,95,H,NA
C,18,765,81,696,65,H,NA
C,18,769,76,662,72,N,NA
C,18,789,59,625,53,H,NA
C,18,790,75,848,62,H,NA
C,18,801,78,819,68,H,NA
C,18,805,81,514,51,H,NA
C,19,519,67,587,62,A,NA
C,19,521,98,800,44,H,NA
C,19,530,81,680,54,H,NA
C,19,533,72,745,56,A,NA
C,19,534,85,774,75,A,NA
C,19,538,83,516,63,H,NA
C,19,547,82,850,65,H,NA
C,19,559,88,854,57,H,NA
C,19,581,86,575,58,H,NA
C,19,592,66,705,63,H,NA
C,19,599,84,570,79,H,NA
C,19,603,89,605,72,H,NA
C,19,619,93,766,86,H,NA
C,19,627,95,683,92,A,NA
C,19,645,62,585,54,H,NA
C,19,647,53,593,51,H,NA
C,19,666,75,812,74,H,NA
C,19,675,64,543,40,H,NA
C,19,721,75,632,62,H,NA
C,19,722,103,803,71,H,NA
C,19,732,72,589,55,H,NA
C,19,755,75,807,59,A,NA
C,19,764,76,782,60,H,NA
C,19,775,71,529,63,H,NA
C,19,777,60,855,46,H,NA
C,19,778,72,642,49,H,NA
C,19,780,84,665,68,H,NA
C,19,786,60,814,57,H,NA
C,19,817,96,652,81,H,NA
C,19,821,87,564,59,H,NA
C,19,827,81,586,53,H,NA
C,19,836,68,670,63,A,NA
C,19,839,88,832,70,H,NA
C,19,843,87,583,66,H,NA
C,19,847,72,784,51,H,NA
C,19,851,82,537,72,A,NA
C,20,512,97,565,91,H,NA
C,20,515,114,696,56,H,NA
C,20,527,87,544,54,H,NA
C,20,556,62,762,59,H,NA
C,20,577,78,517,45,A,NA
C,20,582,80,751,77,H,NA
C,20,596,72,616,66,A,NA
C,20,622,73,650,68,A,NA
C,20,628,112,711,64,H,NA
C,20,668,69,590,47,H,NA
C,20,676,85,833,64,H,NA
C,20,698,75,815,51,H,NA
C,20,743,83,830,79,H,NA
C,20,788,78,678,67,H,NA
C,20,818,79,566,40,A,NA
C,20,825,55,605,54,H,NA
C,21,513,82,610,70,H,NA
C,21,518,96,705,75,H,NA
C,21,559,68,528,54,H,NA
C,21,573,58,506,34,H,NA
C,21,595,89,653,72,H,NA
C,21,597,89,593,69,H,NA
C,21,603,98,683,51,H,NA
C,21,623,69,530,59,H,NA
C,21,636,88,742,61,H,NA
C,21,642,69,561,53,H,NA
C,21,644,80,838,77,A,NA
C,21,667,86,848,75,H,NA
C,21,671,82,586,59,H,NA
