season,daynum,wteam,wscore,lteam,lscore,wloc,numot
D,12,625,83,764,69,H,NA
D,12,826,67,769,61,H,NA
D,13,625,76,769,55,H,NA
D,13,826,64,764,54,H,NA
D,14,741,87,788,85,H,NA
D,14,827,72,737,66,A,NA
D,15,741,82,827,69,H,NA
D,15,788,79,737,77,A,NA
D,15,789,65,603,49,N,NA
D,15,839,75,623,73,N,NA
D,16,623,65,603,50,N,NA
D,16,789,59,839,48,N,NA
D,18,511,73,790,72,N,NA
D,18,512,68,756,49,H,NA
D,18,518,114,761,60,H,NA
D,18,536,73,850,67,H,NA
D,18,551,83,514,59,H,NA
D,18,554,64,545,43,A,NA
D,18,594,69,670,62,H,NA
D,18,595,88,751,51,H,NA
D,18,597,86,560,67,H,NA
D,18,599,71,602,59,H,NA
D,18,604,96,667,61,H,NA
D,18,616,74,854,50,H,NA
D,18,635,86,683,62,H,NA
D,18,636,80,607,66,H,NA
D,18,637,83,781,60,H,NA
D,18,644,73,828,60,H,NA
D,18,666,79,816,75,H,NA
D,18,668,97,590,73,A,NA
D,18,669,76,717,65,A,NA
D,18,671,89,812,58,H,NA
D,18,674,87,506,45,H,NA
D,18,676,87,632,46,H,NA
D,18,701,82,573,81,H,NA
D,18,702,59,824,57,A,NA
D,18,704,85,534,63,H,NA
D,18,708,87,510,64,H,NA
D,18,720,89,718,61,H,NA
D,18,731,84,813,56,H,NA
D,18,738,101,814,64,H,NA
D,18,742,80,803,40,H,NA
D,18,780,63,516,60,H,NA
D,18,794,80,711,59,H,NA
D,18,795,71,844,44,H,NA
D,18,830,86,825,70,A,NA
D,18,842,81,774,75,A,NA
D,19,543,66,705,59,H,NA
D,19,556,69,572,66,H,NA
D,19,557,78,664,60,H,NA
D,19,562,93,799,48,H,NA
D,19,565,83,647,65,A,NA
D,19,569,89,639,73,H,NA
D,19,570,86,509,81,A,NA
D,19,577,98,589,66,H,NA
D,19,585,85,832,84,A,NA
D,19,587,70,835,65,H,NA
D,19,594,75,713,67,H,NA
D,19,598,66,784,59,H,NA
D,19,625,76,626,70,H,NA
D,19,634,61,583,53,H,NA
D,19,642,56,567,41,A,NA
D,19,653,96,619,81,H,NA
D,19,657,98,610,75,H,NA
D,19,660,70,527,49,A,NA
D,19,662,113,833,46,H,NA
D,19,678,72,535,57,A,NA
D,19,686,92,641,88,H,NA
D,19,687,65,749,62,H,NA
D,19,690,89,548,72,H,NA
D,19,695,81,665,60,H,NA
D,19,698,79,815,59,H,NA
D,19,699,76,754,71,A,NA
D,19,700,77,531,71,H,NA
D,19,721,75,716,55,H,NA
D,19,723,81,851,60,H,NA
D,19,727,56,758,51,H,NA
D,19,730,71,757,51,H,NA
D,19,737,87,741,63,H,NA
D,19,743,65,540,59,H,NA
D,19,745,66,533,51,H,NA
D,19,746,72,838,55,H,NA
D,19,764,75,782,57,H,NA
D,19,766,83,523,77,A,NA
D,19,768,74,677,62,H,NA
D,19,788,94,724,93,H,NA
D,19,792,63,522,62,H,NA
D,19,805,70,508,57,H,NA
D,19,827,92,517,41,H,NA
D,19,831,59,847,50,H,NA
D,19,843,81,505,54,H,NA
D,19,849,66,654,29,H,NA
D,20,515,83,632,72,H,NA
D,20,539,71,613,60,A,NA
D,20,558,56,616,53,A,NA
D,20,559,102,739,60,H,NA
D,20,603,91,611,62,H,NA
D,20,628,74,834,63,A,NA
D,20,717,64,854,62,H,NA
D,20,718,72,624,71,A,NA
D,20,720,78,504,70,H,NA
D,20,725,77,560,62,H,NA
D,20,790,91,791,69,H,NA
D,20,802,60,751,42,H,NA
D,21,502,94,850,75,H,NA
D,21,516,66,521,64,H,NA
D,21,518,94,593,47,H,NA
D,21,520,75,670,64,A,NA
D,21,529,70,714,68,H,NA
D,21,551,66,784,39,H,NA
D,21,586,64,672,59,A,NA
D,21,592,76,600,62,H,NA
D,21,597,114,538,101,H,NA
D,21,604,84,554,63,H,NA
D,21,606,103,545,63,H,NA
D,21,607,88,666,73,A,NA
D,21,626,79,836,77,H,NA
D,21,634,84,685,75,A,NA
D,21,637,72,564,51,H,NA
D,21,655,75,803,56,H,NA
D,21,660,85,683,51,H,NA
D,21,663,87,704,73,H,NA
D,21,674,91,522,42,H,NA
D,21,692,78,742,61,H,NA
D,21,708,65,594,44,H,NA
D,21,722,90,716,65,H,NA
D,21,723,84,585,70,H,NA
D,21,729,90,832,66,H,NA
D,21,738,77,622,61,H,NA
D,21,776,88,644,74,A,NA
D,21,778,105,814,50,H,NA
D,21,817,95,800,58,H,NA
D,21,827,89,519,79,H,NA
D,21,829,86,602,76,H,NA
D,21,840,70,816,63,H,NA
D,21,848,79,667,63,H,NA
D,21,849,75,845,63,H,NA
D,22,515,73,506,43,H,NA
D,22,530,49,762,47,H,NA
D,22,534,64,561,63,A,NA
D,22,537,82,851,81,A,NA
D,22,546,65,528,50,A,NA
D,22,556,75,557,67,H,NA
D,22,572,86,852,82,A,NA
D,22,574,84,523,50,H,NA
D,22,577,94,568,61,N,NA
D,22,598,79,847,67,A,NA
D,22,599,64,623,58,A,NA
D,22,617,71,793,69,H,NA
D,22,636,61,728,56,A,NA
D,22,640,99,580,64,H,NA
D,22,647,98,652,92,A,NA
D,22,654,65,548,52,A,NA
D,22,657,69,715,57,A,NA
D,22,661,70,690,67,H,NA
D,22,662,90,813,62,H,NA
D,22,671,96,718,66,A,NA
D,22,675,105,514,53,H,NA
D,22,712,69,531,59,A,NA
D,22,713,76,512,60,A,NA
D,22,730,71,807,58,H,NA
D,22,731,95,777,69,H,NA
D,22,761,77,608,68,H,NA
D,22,775,74,645,64,H,NA
D,22,786,93,555,40,H,NA
D,22,790,83,565,64,H,NA
D,22,818,101,754,54,H,NA
D,22,853,73,535,66,A,NA
D,23,508,62,768,44,H,NA
D,23,509,69,619,53,A,NA
D,23,562,79,677,58,A,NA
D,23,567,69,828,64,A,NA
D,23,569,76,631,66,H,NA
D,23,570,87,571,74,H,NA
D,23,578,59,843,50,H,NA
D,23,579,70,626,63,H,NA
D,23,587,83,797,70,A,NA
D,23,603,83,605,68,A,NA
D,23,612,62,527,61,A,NA
D,23,616,62,611,58,H,NA
D,23,624,60,844,49,H,NA
D,23,625,91,805,54,H,NA
D,23,635,93,693,80,A,NA
D,23,639,67,855,56,H,NA
D,23,642,63,736,47,H,NA
D,23,650,72,521,63,A,NA
D,23,678,72,676,69,A,NA
D,23,695,87,540,36,H,NA
D,23,707,86,664,82,A,NA
D,23,708,65,604,58,H,NA
D,23,720,61,745,49,H,NA
D,23,723,83,610,69,H,NA
D,23,724,71,516,66,A,NA
D,23,738,83,607,68,H,NA
D,23,739,64,517,63,H,NA
D,23,744,79,533,64,A,NA
D,23,755,71,757,70,A,NA
D,23,764,83,576,70,H,NA
D,23,778,73,663,69,H,NA
D,23,781,75,756,56,H,NA
D,23,783,86,767,51,H,NA
D,23,788,74,703,61,H,NA
D,23,789,68,674,52,H,NA
D,23,802,84,632,45,H,NA
D,23,822,62,821,54,H,NA
D,23,825,63,835,61,H,NA
D,23,839,82,815,45,H,NA
D,23,846,88,590,85,H,NA
D,24,504,79,792,53,H,NA
D,24,518,77,809,42,H,NA
D,24,519,73,547,69,H,NA
D,24,549,70,741,53,A,NA
