season,daynum,wteam,wscore,lteam,lscore,wloc,numot
E,10,628,70,559,68,N,NA
E,10,783,80,577,79,N,NA
E,11,559,71,577,66,N,NA
E,11,783,72,628,58,N,NA
E,11,786,60,736,43,H,NA
E,11,849,66,676,55,N,NA
E,12,676,51,736,48,N,NA
E,12,714,74,504,73,N,NA
E,12,780,78,502,70,H,NA
E,12,786,68,849,49,H,NA
E,13,714,70,502,60,N,NA
E,13,780,78,504,70,H,NA
E,15,511,88,637,69,H,NA
E,15,702,69,615,55,H,NA
E,15,717,59,720,57,A,NA
E,15,766,89,568,79,H,NA
E,15,821,76,516,43,H,NA
E,16,640,67,728,50,H,NA
E,16,662,71,755,61,H,NA
E,16,801,80,596,69,H,NA
E,17,539,91,788,83,N,NA
E,17,717,107,766,96,H,NA
E,17,852,92,716,54,H,NA
E,18,504,81,842,61,H,NA
E,18,511,84,702,60,H,NA
E,18,518,65,805,59,H,NA
E,18,523,86,593,73,N,NA
E,18,529,60,632,43,N,NA
E,18,530,68,768,59,H,NA
E,18,533,79,657,69,N,NA
E,18,544,70,507,56,H,NA
E,18,551,77,586,47,H,NA
E,18,556,67,781,56,H,NA
E,18,559,89,828,52,H,NA
E,18,567,68,555,65,N,NA
E,18,569,70,701,57,A,NA
E,18,575,48,629,44,H,NA
E,18,592,96,595,61,H,NA
E,18,594,75,740,73,H,NA
E,18,597,74,605,64,A,NA
E,18,599,80,626,74,N,NA
E,18,603,81,683,68,H,NA
E,18,606,91,667,79,H,NA
E,18,611,96,750,93,A,NA
E,18,613,84,797,68,H,NA
E,18,620,71,724,70,A,NA
E,18,622,89,707,69,H,NA
E,18,623,76,834,53,H,NA
E,18,625,68,796,60,A,NA
E,18,636,97,589,71,H,NA
E,18,640,56,821,48,H,NA
E,18,644,69,854,56,H,NA
E,18,653,74,799,67,N,NA
E,18,659,72,571,47,H,NA
E,18,662,78,801,70,H,NA
E,18,668,81,809,54,A,NA
E,18,670,82,718,62,H,NA
E,18,674,74,634,59,H,NA
E,18,676,75,814,69,H,NA
E,18,690,78,528,65,N,NA
E,18,695,67,604,63,H,NA
E,18,699,80,841,55,H,NA
E,18,704,105,534,103,A,NA
E,18,721,91,681,76,N,NA
E,18,722,87,510,75,H,NA
E,18,731,69,851,52,H,NA
E,18,742,70,692,64,H,NA
E,18,745,58,583,53,H,NA
E,18,752,68,778,60,N,NA
E,18,753,75,807,62,A,NA
E,18,762,93,833,69,H,NA
E,18,764,91,739,55,H,NA
E,18,769,76,850,62,H,NA
E,18,775,65,712,61,H,NA
E,18,777,90,682,71,H,NA
E,18,798,82,602,74,H,NA
E,18,813,72,560,58,A,NA
E,18,817,99,685,73,H,NA
E,18,818,73,565,59,H,NA
E,18,825,79,651,74,H,NA
E,18,830,97,585,66,H,NA
E,18,846,72,664,52,H,NA
E,19,509,68,693,58,H,NA
E,19,512,79,733,57,H,NA
E,19,521,68,582,61,H,NA
E,19,522,85,580,69,H,NA
E,19,527,89,700,65,H,NA
E,19,533,54,659,48,A,NA
E,19,539,95,617,70,N,NA
E,19,544,63,567,61,H,NA
E,19,549,94,855,67,H,NA
E,19,555,79,507,69,N,NA
E,19,569,65,752,63,N,NA
E,19,570,86,578,81,N,NA
E,19,573,105,619,61,H,NA
E,19,574,80,836,66,H,NA
E,19,577,100,517,42,H,NA
E,19,587,74,631,61,H,NA
E,19,600,83,792,81,H,NA
E,19,616,54,737,43,A,NA
E,19,626,81,681,64,N,NA
E,19,633,88,553,84,A,NA
E,19,635,77,815,64,H,NA
E,19,641,73,686,64,H,NA
E,19,642,59,558,52,A,NA
E,19,643,78,804,62,H,NA
E,19,650,86,711,68,A,NA
E,19,653,77,813,71,N,NA
E,19,655,112,608,35,H,NA
E,19,657,69,571,61,N,NA
E,19,660,62,548,43,H,NA
E,19,661,85,541,77,A,NA
E,19,663,85,627,77,A,NA
E,19,673,90,819,62,H,NA
E,19,678,58,703,52,H,NA
E,19,690,98,594,92,A,NA
E,19,705,55,543,52,H,NA
E,19,713,60,526,53,H,NA
E,19,719,87,552,82,H,NA
E,19,721,73,599,54,N,NA
E,19,722,81,620,50,H,NA
E,19,723,77,547,64,H,NA
E,19,724,78,510,68,N,NA
E,19,730,76,647,74,H,NA
E,19,736,37,679,35,H,NA
E,19,740,70,528,50,N,NA
E,19,746,74,744,49,H,NA
E,19,749,82,835,67,H,NA
E,19,758,73,727,65,H,NA
E,19,761,71,773,70,H,NA
E,19,776,90,785,73,N,NA
E,19,778,70,701,62,A,NA
E,19,782,84,545,71,H,NA
E,19,783,62,757,49,A,NA
E,19,793,82,811,48,H,NA
E,19,799,61,560,57,A,NA
E,19,839,87,540,45,H,NA
E,19,844,46,816,38,H,NA
E,19,845,69,537,68,A,NA
E,19,849,60,520,50,H,NA
E,19,853,96,665,52,H,NA
E,20,518,100,514,44,H,NA
E,20,529,53,613,49,A,NA
E,20,561,71,534,60,A,NA
E,20,570,81,541,74,N,NA
E,20,607,76,680,61,A,NA
E,20,617,93,599,92,N,NA
E,20,624,72,718,67,A,NA
E,20,626,89,788,77,N,NA
E,20,628,95,579,79,H,NA
E,20,632,63,797,48,N,NA
E,20,637,76,716,71,H,NA
E,20,654,78,765,58,H,NA
E,20,661,81,785,52,A,NA
E,20,675,89,505,67,H,NA
E,20,676,85,833,68,H,NA
E,20,717,73,777,60,H,NA
E,20,721,75,539,58,N,NA
E,20,755,78,699,73,A,NA
E,20,769,68,550,51,H,NA
E,20,772,88,508,58,H,NA
E,20,776,64,578,63,H,NA
E,20,780,84,814,72,H,NA
E,20,789,60,669,47,H,NA
E,20,801,88,734,59,H,NA
E,20,802,91,741,66,A,NA
E,20,817,92,589,68,H,NA
E,20,830,98,832,57,H,NA
E,20,850,79,551,74,A,NA
E,20,854,72,828,69,H,NA
E,21,504,91,792,72,H,NA
E,21,515,102,819,95,H,NA
E,21,519,78,516,64,A,NA
E,21,559,79,663,65,H,NA
E,21,562,70,685,62,A,NA
E,21,566,65,774,58,H,NA
E,21,581,73,610,66,A,NA
E,21,592,60,822,58,N,NA
E,21,596,77,743,74,A,NA
E,21,603,71,666,55,N,NA
E,21,623,72,530,62,A,NA
E,21,635,91,528,79,H,NA
E,21,655,75,761,36,H,NA
E,21,662,104,588,45,H,NA
E,21,671,78,798,33,H,NA
E,21,708,82,818,65,N,NA
E,21,724,105,803,104,A,NA
E,21,729,69,644,56,H,NA
E,21,737,73,531,63,H,NA
E,21,746,77,545,63,H,NA
E,21,766,82,611,75,H,NA
E,21,784,63,598,60,H,NA
E,21,786,105,590,79,H,NA
E,21,787,71,582,67,H,NA
E,21,790,95,585,56,H,NA
E,21,831,59,847,57,A,NA
E,21,839,90,692,55,A,NA
E,21,840,73,781,60,A,NA
E,21,841,83,608,55,H,NA
E,22,526,64,621,56,H,NA
E,22,527,91,828,63,H,NA
E,22,533,65,745,62,H,NA
E,22,534,81,700,78,A,NA
E,22,537,76,851,48,H,NA
E,22,546,66,775,56,H,NA
E,22,553,68,550,60,A,NA
E,22,555,76,541,59,H,NA
E,22,561,67,517,66,H,NA
E,22,570,80,602,78,H,NA
E,22,575,81,571,51,H,NA
E,22,577,99,558,52,H,NA
E,22,578,87,712,77,H,NA
E,22,583,68,844,54,H,NA
E,22,587,52,835,47,A,NA
E,22,593,87,800,86,H,NA
E,22,595,81,707,70,H,NA
E,22,600,93,633,85,A,NA
E,22,612,80,616,69,A,NA
E,22,627,89,560,61,H,NA
E,22,639,78,855,56,H,NA
E,22,641,70,544,60,H,NA
E,22,654,70,836,69,A,NA
E,22,665,59,507,52,H,NA
E,22,668,67,679,46,H,NA
E,22,670,66,574,62,H,NA
E,22,673,66,660,57,H,NA
E,22,674,86,664,59,H,NA
E,22,675,107,514,67,H,NA
E,22,695,75,723,61,H,NA
E,22,698,81,579,78,H,NA
E,22,701,98,765,61,H,NA
E,22,708,85,603,79,N,NA
E,22,713,76,538,72,A,NA
E,22,714,70,677,65,H,NA
E,22,715,55,548,47,H,NA
E,22,722,93,513,64,A,NA
E,22,725,65,622,58,A,NA
E,22,727,78,652,46,H,NA
E,22,730,70,597,68,A,NA
E,22,733,61,732,51,H,NA
E,22,738,79,592,68,N,NA
E,22,740,80,782,68,A,NA
E,22,744,75,750,71,H,NA
E,22,753,81,564,77,A,NA
E,22,767,67,643,56,H,NA
E,22,768,77,506,59,H,NA
E,22,778,84,785,43,A,NA
