season,daynum,wteam,wscore,lteam,lscore,wloc,numot
F,10,636,99,810,98,N,NA
F,10,778,62,640,61,H,NA
F,11,636,82,778,74,A,NA
F,11,708,66,848,61,H,NA
F,11,802,69,512,67,N,NA
F,11,810,97,640,92,N,NA
F,12,512,76,848,68,N,NA
F,12,708,91,802,81,H,NA
F,14,539,83,675,76,H,NA
F,14,701,79,602,68,H,NA
F,14,789,56,570,49,H,NA
F,14,793,79,692,65,H,NA
F,15,577,87,736,50,H,NA
F,15,625,80,730,68,H,NA
F,15,768,67,660,54,A,NA
F,15,829,101,589,85,H,NA
F,16,789,61,701,49,H,NA
F,16,793,57,539,54,H,NA
F,17,502,59,617,53,N,NA
F,17,519,85,632,63,N,NA
F,17,839,108,686,61,H,NA
F,18,505,74,634,71,H,NA
F,18,506,78,525,69,H,NA
F,18,512,94,774,72,H,NA
F,18,515,90,791,68,H,NA
F,18,518,87,593,52,H,NA
F,18,528,77,782,64,A,NA
F,18,544,76,507,67,A,NA
F,18,546,89,596,75,H,NA
F,18,551,86,611,67,H,NA
F,18,552,68,828,53,H,NA
F,18,554,73,545,52,A,NA
F,18,559,86,739,72,H,NA
F,18,577,98,829,85,H,NA
F,18,583,86,516,72,N,NA
F,18,588,97,576,87,H,NA
F,18,592,85,595,70,A,NA
F,18,594,67,522,65,H,NA
F,18,597,104,781,66,H,NA
F,18,603,85,523,75,H,NA
F,18,605,91,604,79,A,NA
F,18,606,92,850,49,H,NA
F,18,607,74,582,65,A,NA
F,18,615,81,690,57,N,NA
F,18,617,77,686,52,N,NA
F,18,623,86,657,57,H,NA
F,18,625,70,768,62,H,NA
F,18,641,78,816,71,N,NA
F,18,651,86,613,71,A,NA
F,18,659,68,567,54,H,NA
F,18,673,81,815,61,H,NA
F,18,676,90,759,49,H,NA
F,18,684,70,677,62,H,NA
F,18,695,77,728,64,H,NA
F,18,704,80,534,76,A,NA
F,18,708,99,510,69,A,NA
F,18,718,97,670,90,H,NA
F,18,720,65,854,45,H,NA
F,18,721,75,508,56,H,NA
F,18,725,85,685,70,H,NA
F,18,726,68,564,35,H,NA
F,18,731,91,693,46,H,NA
F,18,743,97,740,62,H,NA
F,18,749,101,647,89,H,NA
F,18,764,104,744,76,H,NA
F,18,771,96,568,70,N,NA
F,18,772,70,650,63,N,NA
F,18,775,68,702,53,N,NA
F,18,779,103,833,53,N,NA
F,18,788,102,716,69,H,NA
F,18,789,67,666,62,A,NA
F,18,790,88,547,66,H,NA
F,18,792,73,769,67,A,NA
F,18,801,85,705,73,H,NA
F,18,802,89,711,71,H,NA
F,18,807,71,619,47,H,NA
F,18,817,81,713,60,H,NA
F,18,821,71,621,65,H,NA
F,18,822,76,758,67,N,NA
F,18,825,82,601,67,H,NA
F,18,827,65,747,60,H,NA
F,18,830,96,648,50,H,NA
F,18,838,122,531,91,H,NA
F,18,839,84,502,44,H,NA
F,18,842,82,808,59,H,NA
F,18,844,62,620,50,A,NA
F,18,847,87,614,62,H,NA
F,19,513,53,715,43,A,NA
F,19,516,67,567,49,N,NA
F,19,519,91,556,86,N,NA
F,19,522,76,690,72,N,NA
F,19,535,90,579,73,H,NA
F,19,540,85,814,70,A,NA
F,19,544,62,558,40,H,NA
F,19,546,95,695,78,A,NA
F,19,549,73,526,61,H,NA
F,19,583,81,659,73,A,NA
F,19,596,81,728,78,N,NA
F,19,599,94,794,74,H,NA
F,19,610,87,836,81,A,NA
F,19,615,78,594,50,A,NA
F,19,633,88,553,69,H,NA
F,19,637,71,820,55,H,NA
F,19,642,72,561,62,A,NA
F,19,643,78,804,69,A,NA
F,19,650,93,791,86,N,NA
F,19,653,85,683,76,N,NA
F,19,663,67,627,65,H,NA
F,19,668,76,590,59,A,NA
F,19,674,98,514,47,H,NA
F,19,675,83,664,74,H,NA
F,19,678,71,703,64,A,NA
F,19,681,79,834,60,H,NA
F,19,699,79,755,71,A,NA
F,19,717,104,750,58,H,NA
F,19,721,89,641,72,H,NA
F,19,723,84,601,57,H,NA
F,19,724,87,698,83,H,NA
F,19,737,63,616,57,H,NA
F,19,741,86,589,61,H,NA
F,19,742,69,692,51,A,NA
F,19,758,70,568,51,N,NA
F,19,772,63,515,54,A,NA
F,19,778,92,785,62,H,NA
F,19,779,84,747,71,N,NA
F,19,780,60,622,57,H,NA
F,19,784,75,585,46,H,NA
F,19,812,69,752,63,H,NA
F,19,813,87,799,72,H,NA
F,19,816,90,508,64,N,NA
F,19,818,107,530,92,H,NA
F,19,822,69,771,66,N,NA
F,19,827,85,833,63,H,NA
F,19,831,92,832,68,H,NA
F,19,835,61,587,59,A,NA
F,19,843,84,684,72,H,NA
F,19,852,77,808,59,H,NA
F,19,853,68,669,54,H,NA
F,19,855,64,777,63,A,NA
F,20,509,74,740,62,H,NA
F,20,518,91,634,51,H,NA
F,20,519,80,822,76,N,NA
F,20,527,100,782,75,H,NA
F,20,552,80,854,70,H,NA
F,20,556,100,771,72,N,NA
F,20,565,90,619,73,H,NA
F,20,568,78,632,66,N,NA
F,20,578,82,693,56,H,NA
F,20,607,85,844,58,H,NA
F,20,628,83,845,79,H,NA
F,20,671,97,718,61,H,NA
F,20,673,77,604,74,H,NA
F,20,702,82,781,64,N,NA
F,20,730,64,757,53,H,NA
F,20,746,64,588,61,H,NA
F,20,747,61,833,58,N,NA
F,20,765,64,654,60,H,NA
F,20,775,87,597,74,A,NA
F,20,786,73,776,53,H,NA
F,20,790,102,586,76,H,NA
F,20,827,78,779,76,H,NA
F,20,828,74,644,67,A,NA
F,21,504,92,800,64,H,NA
F,21,510,86,745,71,H,NA
F,21,535,71,525,62,A,NA
F,21,554,57,547,56,A,NA
F,21,562,96,834,50,H,NA
F,21,569,80,559,66,N,NA
F,21,570,79,571,54,H,NA
F,21,599,91,723,89,H,NA
F,21,602,80,576,72,A,NA
F,21,605,88,759,45,H,NA
F,21,610,73,581,71,A,NA
F,21,623,74,817,69,N,NA
F,21,635,87,832,69,H,NA
F,21,636,101,526,61,H,NA
F,21,655,92,812,49,H,NA
F,21,660,68,663,64,H,NA
F,21,662,95,651,73,N,NA
F,21,667,92,518,88,A,NA
F,21,683,59,799,56,N,NA
F,21,687,103,601,76,H,NA
F,21,692,87,712,66,H,NA
F,21,699,79,681,62,H,NA
F,21,731,74,684,53,H,NA
F,21,747,72,792,52,H,NA
F,21,774,78,842,69,H,NA
F,21,787,79,734,63,H,NA
F,21,788,104,506,58,H,NA
F,21,791,75,672,71,H,NA
F,21,794,77,711,74,H,NA
F,21,801,84,825,80,H,NA
F,21,802,89,741,80,H,NA
F,21,813,74,653,56,H,NA
F,21,830,117,553,78,H,NA
F,21,839,69,743,61,A,NA
F,21,841,83,733,55,H,NA
F,21,847,48,831,46,A,NA
F,22,511,76,569,59,N,NA
F,22,512,64,555,50,H,NA
F,22,522,68,598,61,H,NA
F,22,528,55,645,54,A,NA
F,22,529,92,587,87,H,NA
F,22,531,91,614,83,H,NA
F,22,533,68,777,62,H,NA
F,22,536,100,585,63,H,NA
F,22,537,67,738,66,A,NA
F,22,543,70,795,63,H,NA
F,22,549,79,661,75,H,NA
F,22,565,78,810,74,A,NA
F,22,578,82,816,73,H,NA
F,22,606,85,545,62,H,NA
F,22,615,87,590,67,A,NA
F,22,616,60,612,55,A,NA
F,22,622,91,820,75,H,NA
F,22,623,90,662,80,N,NA
F,22,627,78,560,61,A,NA
F,22,628,73,575,71,A,NA
F,22,633,80,600,78,A,NA
F,22,640,91,634,48,H,NA
F,22,647,84,502,77,H,NA
F,22,651,86,817,85,N,NA
F,22,657,80,737,71,A,NA
F,22,658,71,686,57,H,NA
F,22,668,65,558,41,H,NA
F,22,670,92,836,78,H,NA
F,22,675,93,685,53,H,NA
F,22,698,85,579,71,H,NA
F,22,703,83,707,56,H,NA
F,22,704,74,507,66,H,NA
F,22,716,57,773,53,A,NA
F,22,722,69,677,46,H,NA
F,22,725,99,572,90,A,NA
