season,daynum,wteam,wscore,lteam,lscore,wloc,numot
G,10,511,71,662,67,N,NA
G,10,592,72,789,64,N,NA
G,11,511,75,592,71,N,NA
G,11,662,82,789,74,N,NA
G,14,515,64,657,47,H,NA
G,14,573,70,596,61,H,NA
G,14,671,80,574,70,H,NA
G,14,721,66,544,44,H,NA
G,14,786,78,658,58,H,NA
G,14,839,79,816,78,H,NA
G,15,502,68,854,62,N,NA
G,15,504,107,685,67,H,NA
G,15,528,69,703,63,N,NA
G,15,597,92,681,70,H,NA
G,15,628,89,665,59,H,NA
G,15,666,88,850,61,H,NA
G,15,676,89,797,63,H,NA
G,15,723,69,566,52,N,NA
G,15,752,72,652,60,N,NA
G,15,818,68,852,55,H,NA
G,16,504,83,752,51,H,NA
G,16,583,79,746,74,N,NA
G,16,628,90,528,61,H,NA
G,16,652,74,685,65,N,NA
G,16,665,48,703,46,N,NA
G,16,666,91,723,66,H,NA
G,16,671,67,721,55,H,NA
G,16,676,86,502,58,H,NA
G,16,695,95,734,51,H,NA
G,16,715,78,825,73,N,NA
G,16,756,65,588,57,N,NA
G,16,786,74,573,60,H,NA
G,16,797,99,854,87,N,NA
G,16,850,56,566,46,N,NA
G,17,529,82,674,78,N,NA
G,17,539,70,736,58,H,NA
G,17,582,68,779,67,N,NA
G,17,583,71,715,68,N,NA
G,17,597,65,818,58,H,NA
G,17,599,69,661,64,N,NA
G,17,647,71,836,64,N,NA
G,17,695,78,756,56,H,NA
G,17,725,92,506,52,H,NA
G,17,734,77,588,66,N,NA
G,17,825,71,746,58,N,NA
G,17,835,64,640,52,A,NA
G,18,518,63,614,59,H,NA
G,18,524,49,567,46,H,NA
G,18,525,62,762,51,A,NA
G,18,531,82,828,58,N,NA
G,18,535,73,740,56,N,NA
G,18,539,56,582,27,H,NA
G,18,541,65,561,48,H,NA
G,18,544,68,533,55,H,NA
G,18,546,65,568,51,H,NA
G,18,554,76,545,48,H,NA
G,18,558,66,712,54,N,NA
G,18,570,62,846,47,N,NA
G,18,571,69,611,57,H,NA
G,18,575,74,751,65,N,NA
G,18,585,94,693,82,H,NA
G,18,592,68,595,47,H,NA
G,18,594,70,782,59,H,NA
G,18,604,75,598,62,H,NA
G,18,606,97,593,62,H,NA
G,18,610,77,708,69,A,NA
G,18,612,68,589,62,H,NA
G,18,613,76,707,52,H,NA
G,18,616,85,739,57,H,NA
G,18,619,76,667,68,N,NA
G,18,623,76,607,58,H,NA
G,18,624,74,842,70,H,NA
G,18,631,82,552,65,H,NA
G,18,637,64,800,60,H,NA
G,18,640,90,661,73,H,NA
G,18,647,74,506,55,N,NA
G,18,659,75,576,67,H,NA
G,18,663,66,513,60,H,NA
G,18,670,81,718,73,H,NA
G,18,682,82,630,73,A,NA
G,18,695,71,583,47,H,NA
G,18,711,79,678,77,H,NA
G,18,713,75,538,57,H,NA
G,18,715,59,756,51,N,NA
G,18,717,95,700,53,H,NA
G,18,722,69,549,62,H,NA
G,18,725,91,836,48,H,NA
G,18,731,76,683,55,H,NA
G,18,737,79,766,54,H,NA
G,18,738,73,826,69,A,NA
G,18,742,75,692,72,H,NA
G,18,743,62,510,61,H,NA
G,18,746,70,588,66,N,NA
G,18,749,82,522,71,H,NA
G,18,754,71,714,57,N,NA
G,18,764,87,755,79,A,NA
G,18,767,74,759,54,H,NA
G,18,776,100,644,91,H,NA
G,18,779,74,736,63,N,NA
G,18,788,93,716,79,H,NA
G,18,790,72,792,63,H,NA
G,18,796,75,847,55,H,NA
G,18,807,71,781,64,H,NA
G,18,820,73,657,56,N,NA
G,18,825,82,734,66,N,NA
G,18,827,96,645,61,H,NA
G,18,830,105,838,74,H,NA
G,18,835,73,599,48,N,NA
G,18,839,76,515,71,A,NA
G,18,843,83,814,57,H,NA
G,19,503,67,627,64,A,NA
G,19,511,88,793,74,A,NA
G,19,512,92,765,61,H,NA
G,19,535,76,570,59,N,NA
G,19,536,70,753,59,A,NA
G,19,544,66,531,60,H,NA
G,19,551,70,684,57,N,NA
G,19,555,99,648,87,A,NA
G,19,556,98,514,81,H,NA
G,19,576,87,712,76,A,NA
G,19,587,87,855,64,H,NA
G,19,602,86,704,71,A,NA
G,19,615,67,590,65,H,NA
G,19,628,75,650,67,H,NA
G,19,642,80,507,72,A,NA
G,19,652,67,621,56,H,NA
G,19,655,83,540,59,H,NA
G,19,659,69,558,59,H,NA
G,19,660,80,654,70,H,NA
G,19,662,83,509,53,H,NA
G,19,673,80,667,59,H,NA
G,19,675,95,705,59,H,NA
G,19,677,48,844,47,A,NA
G,19,679,50,744,45,H,NA
G,19,699,85,565,75,A,NA
G,19,702,88,819,71,A,NA
G,19,714,76,847,55,N,NA
G,19,722,81,519,58,H,NA
G,19,725,97,647,67,H,NA
G,19,727,85,758,83,A,NA
G,19,730,75,564,58,H,NA
G,19,732,75,808,67,H,NA
G,19,733,60,526,53,A,NA
G,19,752,62,812,53,H,NA
G,19,772,83,632,58,H,NA
G,19,778,72,785,55,H,NA
G,19,782,79,657,70,N,NA
G,19,783,81,701,66,A,NA
G,19,796,81,754,71,H,NA
