season,daynum,wteam,wscore,lteam,lscore,wloc,numot
H,10,504,68,721,62,N,NA
H,10,666,70,786,63,N,NA
H,11,660,73,829,61,N,NA
H,11,690,56,848,50,N,NA
H,11,793,77,604,71,N,NA
H,11,849,81,582,55,H,NA
H,12,557,80,630,62,H,NA
H,12,582,75,848,61,N,NA
H,12,590,71,552,66,N,NA
H,12,849,84,690,56,H,NA
H,13,562,106,819,50,H,NA
H,13,598,74,506,73,N,NA
H,13,631,66,531,65,N,NA
H,13,717,76,522,48,H,NA
H,14,522,83,531,77,N,NA
H,14,552,78,630,71,N,NA
H,14,557,81,590,56,H,NA
H,14,562,82,598,57,H,NA
H,14,579,73,526,59,A,NA
H,14,708,85,729,55,H,NA
H,14,717,89,631,45,H,NA
H,14,746,60,558,36,H,NA
H,14,783,61,528,57,H,NA
H,14,819,59,506,47,N,NA
H,14,853,87,782,48,H,NA
H,15,557,77,552,63,H,NA
H,15,590,93,630,86,N,NA
H,15,592,76,650,55,H,NA
H,15,636,81,616,57,H,NA
H,15,815,84,838,65,H,NA
H,16,708,71,746,67,H,NA
H,16,783,63,853,62,H,NA
H,17,592,99,579,65,H,NA
H,17,698,68,543,45,N,NA
H,18,504,82,506,56,H,NA
H,18,512,59,682,56,H,NA
H,18,515,81,632,44,H,NA
H,18,516,83,762,71,H,NA
H,18,518,81,850,63,H,NA
H,18,519,81,666,80,A,NA
H,18,520,72,634,64,N,NA
H,18,530,95,730,81,H,NA
H,18,535,69,630,53,A,NA
H,18,536,71,798,56,N,NA
H,18,537,61,602,58,H,NA
H,18,544,77,782,67,H,NA
H,18,546,89,647,61,H,NA
H,18,547,68,752,66,A,NA
H,18,553,77,833,72,A,NA
H,18,554,84,545,70,N,NA
H,18,556,97,538,69,H,NA
H,18,561,78,534,72,A,NA
H,18,575,74,590,62,H,NA
H,18,583,65,672,63,A,NA
H,18,587,73,622,68,H,NA
H,18,596,79,847,76,A,NA
H,18,603,99,608,46,H,NA
H,18,607,69,615,61,H,NA
H,18,612,69,589,67,A,NA
H,18,613,81,513,65,H,NA
H,18,614,70,713,65,N,NA
H,18,626,63,855,56,H,NA
H,18,635,68,598,66,A,NA
H,18,636,105,815,66,H,NA
H,18,641,73,570,56,H,NA
H,18,644,68,567,62,H,NA
H,18,652,85,654,79,H,NA
H,18,655,68,705,24,H,NA
H,18,659,72,555,65,H,NA
H,18,660,64,560,46,H,NA
H,18,661,92,704,90,A,NA
H,18,671,66,814,52,H,NA
H,18,676,72,509,57,H,NA
H,18,692,68,809,56,H,NA
H,18,695,84,686,60,H,NA
H,18,702,62,803,59,N,NA
