season,daynum,wteam,wscore,lteam,lscore,wloc,numot
I,10,660,52,778,45,A,NA
I,10,839,85,666,76,N,NA
I,11,731,71,504,62,N,NA
I,11,779,73,607,66,N,NA
I,12,622,77,807,65,N,NA
I,12,667,67,719,64,N,NA
I,12,718,93,753,68,N,NA
I,12,853,62,560,37,H,NA
I,13,700,94,686,68,H,NA
I,13,718,79,622,66,N,NA
I,13,719,51,560,47,N,NA
I,13,807,65,753,60,N,NA
I,13,853,72,667,58,H,NA
I,14,518,66,554,62,H,NA
I,14,559,70,854,60,H,NA
I,14,560,76,753,62,N,NA
I,14,620,84,585,60,N,NA
I,14,622,75,667,64,N,NA
I,14,673,78,677,67,H,NA
I,14,678,82,834,71,H,NA
I,14,699,69,828,49,H,NA
I,14,743,62,685,46,H,NA
I,14,755,73,797,62,N,NA
I,14,769,83,601,74,H,NA
I,14,793,89,531,51,H,NA
I,14,807,63,719,60,N,NA
I,14,821,46,605,38,H,NA
I,14,853,76,718,66,H,NA
I,15,601,68,585,65,N,NA
I,15,606,79,811,45,H,NA
I,15,615,79,659,74,A,NA
I,15,663,80,776,58,H,NA
I,15,678,63,755,42,H,NA
I,15,685,72,686,71,N,NA
I,15,743,63,700,49,H,NA
I,15,769,76,620,66,H,NA
I,15,796,89,568,58,H,NA
I,15,797,96,834,67,N,NA
I,16,559,93,699,79,H,NA
I,16,821,66,673,54,H,NA
I,17,606,75,615,56,H,NA
I,17,841,66,832,46,N,NA
I,18,504,69,650,63,H,NA
I,18,515,89,705,60,H,NA
I,18,516,74,674,69,A,NA
I,18,517,60,558,57,H,NA
I,18,518,86,835,64,H,NA
I,18,526,76,732,66,A,NA
I,18,530,73,812,65,H,NA
I,18,536,88,774,54,H,NA
I,18,538,63,539,62,A,NA
I,18,541,60,534,58,A,NA
I,18,551,86,601,55,H,NA
I,18,554,83,545,66,N,NA
I,18,556,67,715,56,A,NA
I,18,569,90,730,77,A,NA
I,18,570,75,686,72,A,NA
I,18,573,73,654,61,H,NA
I,18,586,65,617,51,A,NA
I,18,589,65,612,60,A,NA
I,18,595,69,657,49,H,NA
I,18,599,80,546,76,A,NA
I,18,602,95,682,82,H,NA
I,18,603,83,608,36,H,NA
I,18,604,78,833,67,H,NA
I,18,607,84,620,63,H,NA
I,18,619,67,594,55,A,NA
I,18,622,70,587,54,A,NA
I,18,625,71,815,64,H,NA
I,18,634,74,505,68,H,NA
I,18,636,90,547,76,H,NA
I,18,637,70,525,50,H,NA
I,18,640,65,848,44,H,NA
I,18,648,67,644,54,A,NA
I,18,652,59,808,53,H,NA
I,18,655,70,773,59,H,NA
I,18,660,79,759,41,H,NA
I,18,669,71,645,55,A,NA
I,18,670,84,718,58,H,NA
I,18,671,64,533,52,H,NA
I,18,679,69,510,65,A,NA
I,18,681,87,739,75,N,NA
I,18,695,71,814,46,H,NA
I,18,713,77,564,60,H,NA
I,18,714,83,548,59,H,NA
I,18,721,69,582,59,H,NA
I,18,722,90,716,62,H,NA
I,18,724,63,747,60,N,NA
I,18,725,80,597,67,H,NA
I,18,727,76,756,65,H,NA
I,18,736,73,555,64,H,NA
I,18,741,89,712,77,H,NA
I,18,742,76,621,46,N,NA
I,18,744,69,531,53,H,NA
I,18,754,74,647,44,H,NA
I,18,755,76,720,65,H,NA
I,18,757,57,613,51,A,NA
I,18,762,63,844,62,H,NA
I,18,766,71,507,50,H,NA
I,18,769,73,692,40,H,NA
I,18,771,79,590,66,H,NA
I,18,772,79,508,67,H,NA
I,18,775,78,745,76,H,NA
I,18,780,64,580,58,H,NA
I,18,781,76,524,58,N,NA
I,18,785,56,567,53,H,NA
I,18,790,81,850,70,H,NA
I,18,796,90,663,50,H,NA
I,18,798,71,630,53,A,NA
I,18,799,57,560,54,H,NA
I,18,813,72,653,50,N,NA
I,18,816,65,661,56,A,NA
I,18,817,65,571,59,H,NA
I,18,825,65,627,61,H,NA
I,18,827,74,522,59,A,NA
I,18,829,73,789,48,A,NA
I,18,836,83,818,65,H,NA
I,18,840,73,733,65,H,NA
I,18,846,74,641,71,N,NA
I,18,849,64,728,53,A,NA
I,19,502,63,514,40,H,NA
I,19,506,76,693,43,N,NA
I,19,512,89,513,72,H,NA
I,19,521,72,804,59,H,NA
I,19,527,92,510,67,N,NA
I,19,549,88,503,66,H,NA
I,19,553,74,659,70,A,NA
I,19,559,111,750,64,H,NA
I,19,560,82,653,65,N,NA
I,19,562,79,753,44,H,NA
I,19,577,67,574,56,H,NA
I,19,583,93,540,54,H,NA
I,19,610,68,641,64,N,NA
I,19,616,59,528,57,H,NA
I,19,621,78,524,62,N,NA
I,19,623,94,834,66,H,NA
I,19,632,76,768,65,H,NA
I,19,635,78,598,72,H,NA
I,19,660,75,826,70,H,NA
I,19,662,79,509,48,H,NA
I,19,666,94,596,64,H,NA
I,19,675,90,797,74,H,NA
I,19,687,92,838,68,H,NA
I,19,690,83,579,76,H,NA
I,19,698,80,588,64,H,NA
I,19,703,77,795,64,H,NA
I,19,704,89,855,80,H,NA
I,19,708,90,723,64,H,NA
