season,daynum,wteam,wscore,lteam,lscore,wloc,numot
J,10,525,79,505,69,N,0
J,10,539,78,808,61,H,0
J,10,602,69,630,51,N,0
J,10,666,102,759,40,H,0
J,10,675,53,589,49,N,0
J,10,736,61,533,48,N,0
J,10,781,67,522,58,N,0
J,10,786,104,688,54,H,0
J,11,533,67,688,54,N,0
J,11,589,62,505,47,N,0
J,11,675,55,525,48,N,0
J,11,701,75,693,59,H,0
J,11,758,74,578,65,N,0
J,11,781,61,539,52,A,0
J,11,786,56,736,45,H,0
J,11,808,74,522,65,N,0
J,12,578,82,693,69,N,0
J,12,630,71,759,60,N,0
J,12,666,75,602,58,H,0
J,12,701,93,758,59,H,0
J,13,502,59,634,42,N,0
J,13,624,82,729,73,N,0
J,13,660,75,833,64,H,0
J,13,674,64,747,52,N,0
J,13,701,82,578,74,H,0
J,13,758,90,693,52,N,0
J,14,502,60,674,36,N,0
J,14,556,72,554,57,H,0
J,14,562,74,508,40,H,0
J,14,617,72,751,69,N,0
J,14,627,77,713,67,N,0
J,14,660,60,624,32,H,0
J,14,670,59,524,46,H,0
J,14,676,68,531,60,H,0
J,14,720,74,799,53,H,0
J,14,729,78,833,63,N,0
J,14,745,68,683,49,N,0
J,14,747,80,634,72,N,0
J,14,825,82,509,76,H,1
J,14,839,97,599,76,H,0
J,15,511,80,753,69,H,0
J,15,562,68,627,62,H,0
J,15,624,70,674,52,N,0
J,15,634,90,833,74,N,0
J,15,660,69,502,65,H,0
J,15,676,77,617,61,H,0
J,15,713,70,508,61,N,0
J,15,720,82,745,50,H,0
J,15,728,74,739,60,H,0
J,15,737,83,704,78,H,0
J,15,747,63,729,43,N,0
J,15,751,92,531,79,N,0
J,15,799,71,683,69,N,2
J,15,851,72,802,66,A,1
J,16,583,80,730,58,N,0
J,16,585,73,588,59,N,0
J,16,670,69,556,60,H,0
J,16,695,92,703,58,H,0
J,16,726,69,766,67,N,0
J,17,511,83,851,66,H,0
J,17,583,64,726,62,N,0
J,17,588,71,703,58,N,0
J,17,666,81,781,66,N,0
J,17,695,71,585,45,H,0
J,17,730,87,766,72,N,0
J,17,737,89,728,52,H,0
J,17,786,71,675,58,N,0
J,17,822,71,600,61,N,0
J,17,839,81,825,67,H,0
J,18,504,97,833,66,H,0
J,18,507,85,750,67,A,0
J,18,515,72,848,49,N,0
J,18,518,80,789,78,A,0
J,18,519,52,780,45,N,1
J,18,525,81,712,70,N,0
J,18,526,76,620,66,H,0
J,18,527,72,657,58,H,0
J,18,530,77,762,73,H,0
J,18,533,69,744,50,H,0
J,18,544,87,555,70,H,0
J,18,546,93,647,64,H,0
J,18,549,88,826,70,H,0
J,18,551,98,610,54,H,0
J,18,554,56,545,41,N,0
J,18,558,82,649,69,H,0
J,18,568,84,676,81,A,0
J,18,575,90,503,88,H,0
J,18,587,100,537,85,H,0
J,18,592,81,633,59,N,0
J,18,594,65,590,62,H,0
J,18,595,71,804,62,H,0
J,18,597,83,665,42,H,0
J,18,598,64,540,52,H,0
J,18,606,74,506,37,H,0
J,18,607,98,733,80,H,0
J,18,617,85,664,72,H,0
J,18,623,87,571,67,H,0
J,18,626,70,553,46,H,0
J,18,627,73,775,49,H,0
J,18,628,85,834,62,H,0
J,18,634,83,685,76,H,0
J,18,636,68,828,61,H,0
J,18,639,77,524,52,N,0
J,18,655,83,801,58,H,0
J,18,659,72,561,67,H,0
J,18,660,84,751,71,H,0
J,18,662,93,632,57,H,0
J,18,669,81,738,71,H,0
J,18,670,70,566,49,H,0
J,18,671,104,593,72,H,0
J,18,674,91,792,68,H,0
J,18,675,67,781,54,N,0
J,18,682,66,686,65,N,1
J,18,695,100,583,66,H,0
J,18,700,59,645,58,A,0
J,18,702,65,836,61,N,1
J,18,703,81,766,73,N,0
J,18,715,56,732,53,N,0
J,18,717,66,612,59,H,0
J,18,720,74,570,49,H,0
J,18,722,91,716,53,H,0
J,18,725,77,621,51,H,0
J,18,726,65,585,55,N,0
J,18,729,73,644,64,H,0
J,18,730,80,588,79,N,0
J,18,740,72,854,71,N,0
J,18,741,72,531,62,H,0
J,18,743,77,764,71,A,0
J,18,752,69,564,57,N,0
J,18,757,80,754,72,A,1
J,18,758,77,708,66,N,0
J,18,777,74,619,63,H,0
J,18,783,93,755,83,N,1
J,18,786,77,666,62,N,0
J,18,788,90,819,61,H,0
J,18,793,95,795,63,H,0
J,18,794,89,693,56,H,0
J,18,796,119,814,55,H,0
J,18,799,69,707,58,H,0
J,18,811,84,650,63,N,0
J,18,813,67,692,61,H,0
J,18,816,58,661,57,H,0
J,18,821,72,785,63,H,0
J,18,827,73,798,57,H,0
J,18,830,88,745,55,H,0
J,18,831,81,653,58,H,0
J,18,835,76,791,73,H,1
J,18,841,59,681,42,H,0
J,18,842,59,823,51,H,0
J,18,847,84,611,71,H,0
J,18,852,77,508,63,H,0
J,18,853,69,718,58,H,0
J,19,516,80,543,69,H,0
J,19,524,57,751,44,N,0
J,19,525,67,659,66,A,0
J,19,550,69,517,62,A,0
J,19,558,76,682,58,H,0
J,19,559,90,534,68,H,0
J,19,562,83,514,58,H,0
J,19,564,75,555,68,N,0
J,19,573,69,529,59,H,0
J,19,574,76,678,65,H,0
J,19,577,88,797,46,H,0
J,19,581,73,519,59,N,0
J,19,596,83,776,62,H,0
J,19,599,94,683,70,H,0
J,19,605,70,772,68,N,0
J,19,616,58,528,48,A,0
J,19,635,59,641,50,A,0
J,19,640,77,560,46,H,0
J,19,642,85,578,71,A,0
J,19,652,83,679,70,H,0
J,19,654,63,690,56,H,0
J,19,660,66,639,61,H,0
J,19,668,67,850,64,H,0
J,19,686,78,649,55,N,0
J,19,702,64,715,61,N,0
J,19,704,78,509,71,H,0
J,19,712,88,561,85,N,0
J,19,713,78,808,60,H,0
J,19,721,82,565,72,H,0
J,19,723,63,768,55,H,0
J,19,727,70,756,52,A,0
J,19,731,81,619,55,H,0
J,19,732,67,836,64,N,0
J,19,752,72,544,58,A,0
J,19,761,63,620,54,N,0
J,19,771,76,765,75,H,0
J,19,778,79,838,68,H,0
J,19,809,55,822,52,N,0
J,19,810,64,548,53,H,0
J,19,843,82,782,70,H,0
J,19,844,68,631,53,H,0
J,19,845,117,734,55,H,0
J,19,846,80,582,62,H,0
J,19,847,81,740,76,H,0
J,19,848,89,800,80,N,0
J,19,849,77,728,44,H,0
J,19,854,92,611,80,N,0
J,20,502,67,508,41,H,0
J,20,504,85,711,71,H,0
J,20,512,79,632,48,H,0
J,20,515,89,800,54,N,0
J,20,580,73,569,66,A,0
J,20,581,61,780,58,N,0
J,20,587,87,553,80,H,0
J,20,607,78,680,62,H,0
J,20,610,70,759,52,A,0
J,20,615,69,594,67,A,0
J,20,623,91,593,60,H,0
J,20,648,66,644,56,H,0
J,20,650,69,801,66,N,0
J,20,655,83,811,69,H,0
J,20,673,83,646,66,H,0
J,20,675,98,705,69,H,0
J,20,692,89,653,86,A,0
J,20,699,76,605,55,H,0
J,20,732,74,600,60,N,0
J,20,747,50,506,47,N,0
J,20,761,56,526,48,A,0
J,20,769,87,833,61,H,0
J,20,802,63,716,54,H,0
J,20,809,62,702,58,N,0
J,20,822,64,715,57,N,0
J,20,824,83,571,50,H,0
J,20,827,87,791,65,H,0
J,20,830,78,511,60,H,0
J,20,851,67,531,44,H,0
J,21,515,82,581,64,N,0
J,21,518,85,598,74,H,0
J,21,523,68,657,67,N,0
J,21,557,76,688,68,H,0
J,21,566,74,774,67,H,0
J,21,577,74,568,61,N,0
J,21,582,76,538,61,A,0
J,21,606,60,622,59,A,0
J,21,619,87,541,76,A,0
J,21,628,76,651,71,N,0
J,21,669,66,853,54,A,0
J,21,704,74,544,53,H,0
J,21,708,86,536,50,N,0
J,21,723,64,639,59,H,0
J,21,725,79,701,75,H,0
J,21,746,73,546,71,A,0
J,21,750,67,517,52,A,0
J,21,754,69,679,65,H,0
J,21,767,69,681,61,A,1
J,21,777,70,533,65,A,0
J,21,780,63,800,55,N,0
J,21,787,70,595,67,A,0
J,21,789,75,603,57,A,0
J,21,790,69,783,57,N,0
J,21,818,90,807,70,H,0
J,21,839,99,854,72,H,0
J,21,848,52,519,36,N,0
J,21,852,64,736,59,H,2
J,22,507,86,766,65,A,0
J,22,509,70,838,49,H,0
J,22,512,67,571,56,H,0
J,22,527,84,700,62,H,0
J,22,530,64,654,62,H,0
J,22,534,87,588,84,H,1
J,22,537,68,826,55,H,0
J,22,539,82,773,63,H,0
J,22,540,75,847,62,H,0
J,22,551,78,814,59,H,0
J,22,555,70,561,56,H,0
J,22,562,78,676,54,N,0
J,22,567,66,739,61,H,0
J,22,573,53,579,51,H,0
J,22,589,59,585,58,H,1
J,22,592,90,590,45,H,0
J,22,601,90,583,60,H,0
J,22,613,71,685,58,H,0
J,22,616,60,612,52,A,0
J,22,621,70,823,62,H,0
J,22,625,56,626,52,H,0
J,22,628,82,793,80,N,0
J,22,629,73,575,46,H,0
J,22,636,91,779,51,H,0
J,22,640,73,520,53,N,0
J,22,646,83,759,64,H,0
J,22,658,67,741,58,H,0
J,22,659,74,775,58,A,0
J,22,661,80,586,76,H,0
J,22,662,93,667,67,H,0
J,22,663,64,525,60,H,0
J,22,666,79,516,75,H,0
J,22,671,104,844,46,H,0
J,22,675,82,677,64,H,0
J,22,698,97,514,40,H,0
J,22,708,94,790,81,N,0
J,22,711,76,816,69,H,0
J,22,717,73,630,45,H,0
J,22,720,78,617,61,N,0
J,22,722,90,513,65,H,0
J,22,727,71,758,65,H,0
J,22,728,81,576,50,H,0
