season,daynum,wteam,wscore,lteam,lscore,wloc,numot
L,8,662,102,610,75,H,0
L,8,828,82,703,65,N,0
L,9,610,74,703,73,N,0
L,9,662,81,828,63,H,0
L,9,671,45,531,34,H,0
L,9,855,74,537,50,N,0
L,10,537,71,531,58,N,0
L,10,548,98,775,95,N,0
L,10,671,86,855,61,H,0
L,10,793,103,508,44,H,0
L,11,502,81,514,45,H,0
L,11,504,96,632,65,H,0
L,11,509,59,589,54,A,2
L,11,515,92,762,52,H,0
L,11,517,80,784,68,N,0
L,11,518,71,800,68,H,0
L,11,527,86,700,47,H,0
L,11,534,72,541,69,A,0
L,11,535,77,801,37,A,0
L,11,549,70,619,39,H,0
L,11,551,83,516,44,N,0
L,11,556,78,572,64,H,0
L,11,559,53,739,46,H,0
L,11,561,64,715,61,A,0
L,11,565,90,733,65,N,0
L,11,568,81,581,77,N,0
L,11,592,79,752,54,H,0
L,11,596,70,750,68,H,0
L,11,597,85,837,63,H,0
L,11,599,70,528,57,A,0
L,11,604,97,773,37,H,0
L,11,606,83,585,49,H,0
L,11,607,90,582,75,H,0
L,11,629,69,808,61,H,0
L,11,631,86,505,47,N,0
L,11,639,105,748,50,N,0
L,11,642,76,838,70,A,0
L,11,652,68,724,65,H,0
L,11,654,68,736,57,N,0
L,11,670,60,544,40,H,0
L,11,674,72,685,49,H,0
L,11,676,101,693,80,H,0
L,11,689,91,620,76,A,0
L,11,692,73,653,61,N,0
L,11,695,92,850,88,H,0
L,11,716,88,822,71,H,0
L,11,717,92,630,49,H,0
L,11,720,107,832,69,H,0
L,11,721,99,707,36,H,0
L,11,722,95,590,50,H,0
L,11,723,54,679,40,H,0
L,11,725,77,644,65,H,0
L,11,726,65,732,48,H,0
L,11,729,63,682,46,H,0
L,11,754,87,687,84,N,0
L,11,757,75,756,67,H,0
L,11,761,76,538,69,N,0
L,11,768,67,807,63,N,0
L,11,769,55,747,52,H,0
L,11,774,76,821,73,A,0
L,11,775,68,508,59,N,0
L,11,778,74,710,53,H,0
L,11,785,65,555,59,A,0
L,11,786,83,776,51,H,0
L,11,790,83,672,52,H,0
L,11,793,92,548,66,H,0
L,11,794,81,734,49,H,0
L,11,797,64,614,61,N,0
L,11,812,70,579,60,N,0
L,11,817,73,613,59,H,0
L,11,823,69,681,37,H,0
L,11,824,69,728,66,N,0
L,11,831,94,560,43,H,0
L,11,841,71,805,60,N,0
L,11,843,50,686,42,H,0
L,11,845,72,740,60,H,0
L,12,505,70,748,66,N,0
L,12,507,55,533,49,H,0
L,12,520,81,688,42,H,0
L,12,530,78,573,58,H,0
L,12,538,56,732,53,N,0
L,12,546,88,615,82,H,0
L,12,549,67,797,49,H,0
L,12,551,77,679,65,N,0
L,12,554,72,605,66,A,0
L,12,569,78,519,62,H,0
L,12,581,76,544,69,N,0
L,12,583,86,683,67,H,0
L,12,597,73,768,63,H,0
L,12,598,88,545,69,H,0
L,12,602,79,552,74,A,0
L,12,603,69,611,59,H,0
L,12,612,75,657,71,H,0
L,12,614,81,619,62,N,0
L,12,629,68,812,40,H,0
L,12,636,91,713,57,H,0
L,12,637,70,847,60,H,0
L,12,639,81,631,74,N,0
L,12,643,72,804,64,H,0
L,12,648,73,524,59,H,0
L,12,653,65,710,50,N,0
L,12,661,82,815,80,H,1
L,12,663,98,567,61,H,0
L,12,668,73,594,50,H,0
L,12,670,78,568,68,H,0
L,12,675,90,705,55,H,0
L,12,676,67,517,58,H,0
L,12,678,79,798,66,H,0
L,12,703,66,634,54,H,0
L,12,706,56,658,55,A,0
L,12,719,83,659,66,H,0
L,12,720,87,654,75,H,0
L,12,723,69,516,61,H,0
L,12,725,84,565,73,H,0
L,12,733,94,644,90,N,0
L,12,736,73,832,68,N,0
L,12,754,74,781,73,A,0
L,12,761,65,726,63,A,0
L,12,765,71,753,62,H,0
L,12,778,72,692,49,H,0
L,12,782,67,813,56,H,0
L,12,783,92,766,72,H,0
L,12,784,72,693,69,N,0
