season,daynum,wteam,wscore,lteam,lscore,wloc,numot
M,0,666,102,797,71,H,0
M,0,743,44,657,42,N,0
M,1,601,69,505,55,N,0
M,1,640,67,542,40,H,0
M,1,666,80,743,63,H,0
M,1,797,66,657,62,N,0
M,2,542,69,505,59,N,0
M,2,559,69,683,65,H,0
M,2,601,84,640,68,A,0
M,3,559,82,534,57,H,0
M,3,721,71,755,55,H,0
M,4,502,67,567,38,H,0
M,4,504,84,800,72,H,0
M,4,515,67,850,45,H,0
M,4,522,86,549,75,A,0
M,4,526,73,823,72,H,1
M,4,528,68,775,57,H,0
M,4,531,74,581,55,A,0
M,4,535,61,520,45,A,0
M,4,543,72,646,69,N,0
M,4,546,61,614,55,H,0
M,4,552,73,771,70,A,0
M,4,555,63,679,60,H,0
M,4,562,74,573,62,H,0
M,4,564,92,563,75,H,0
M,4,576,67,728,59,A,1
M,4,577,121,694,56,H,0
M,4,578,129,619,59,H,0
M,4,592,75,689,65,H,0
M,4,595,81,705,58,H,0
M,4,596,79,558,61,A,0
M,4,597,75,732,68,H,0
M,4,602,60,828,53,H,0
M,4,604,107,634,65,H,0
M,4,617,83,682,54,H,0
M,4,628,58,621,43,H,0
M,4,629,58,837,44,H,0
M,4,635,100,766,88,H,0
M,4,636,107,812,78,H,0
M,4,637,94,566,63,H,0
M,4,663,90,538,64,N,0
M,4,670,82,740,55,H,0
M,4,680,75,557,39,H,0
M,4,688,104,832,97,N,0
M,4,692,88,649,72,A,0
M,4,701,54,556,47,A,0
M,4,714,75,690,45,H,0
M,4,719,80,702,72,H,0
M,4,721,80,572,50,H,0
M,4,722,104,734,48,H,0
M,4,731,103,618,62,H,0
M,4,741,90,590,63,H,0
M,4,746,70,792,64,H,0
M,4,753,73,613,72,A,0
M,4,754,62,645,50,N,0
M,4,757,92,716,71,N,0
M,4,761,72,508,54,H,0
M,4,769,92,747,67,H,0
M,4,776,62,611,59,H,0
M,4,780,54,693,43,N,0
M,4,783,111,612,56,H,0
M,4,790,80,789,63,H,0
M,4,794,73,664,50,H,0
M,4,799,83,653,69,H,0
M,4,801,77,518,62,H,0
M,4,807,74,652,61,H,0
M,4,810,69,733,48,H,0
M,4,814,78,598,75,H,0
M,4,815,83,606,74,A,0
M,4,817,76,681,65,H,0
M,4,821,86,760,52,H,0
M,4,822,60,774,49,H,0
M,4,824,77,514,50,H,0
M,4,825,70,665,51,H,0
M,4,829,86,785,64,H,0
M,4,831,69,585,64,H,0
M,4,833,63,529,60,N,0
M,4,835,96,638,61,H,0
M,4,838,74,642,70,A,0
M,4,839,85,589,60,H,0
M,4,841,68,582,41,H,0
M,4,844,76,718,75,H,0
M,5,502,71,688,62,H,0
M,5,509,75,777,68,A,0
M,5,527,67,700,57,H,0
M,5,529,78,522,67,N,0
M,5,533,55,507,52,H,0
M,5,536,74,647,34,A,0
M,5,549,66,833,64,H,0
M,5,561,87,644,83,H,0
M,5,565,96,548,85,H,0
M,5,567,98,832,87,N,0
M,5,569,78,586,74,H,0
M,5,574,61,639,60,H,0
M,5,597,71,645,62,H,0
M,5,599,77,686,62,H,0
M,5,603,68,847,53,H,0
M,5,616,61,615,47,H,0
M,5,622,84,530,75,H,0
M,5,629,67,543,57,H,0
M,5,658,70,706,28,A,0
M,5,660,76,631,68,H,0
M,5,663,102,690,87,N,0
M,5,667,96,818,81,A,0
M,5,673,84,517,52,H,0
M,5,674,97,685,63,H,0
M,5,675,75,650,45,H,0
M,5,687,66,744,65,H,0
M,5,698,67,735,52,H,0
M,5,707,72,743,69,A,0
M,5,714,62,538,55,H,0
M,5,725,100,730,70,H,0
M,5,727,90,836,76,N,0
M,5,731,88,693,61,H,0
M,5,745,72,627,66,H,0
M,5,754,78,732,64,N,0
M,5,757,79,612,61,N,0
M,5,773,75,767,61,A,0
M,5,780,91,618,56,N,0
M,5,781,72,575,66,H,0
M,5,783,97,716,58,H,0
M,5,796,68,808,56,H,0
M,5,798,57,678,53,H,0
M,5,804,72,787,64,A,0
M,5,805,86,605,63,A,0
M,5,813,81,782,78,H,0
M,5,816,98,554,91,H,1
M,5,827,81,519,67,H,0
M,5,837,68,646,58,N,0
M,5,842,78,822,71,H,0
M,5,853,90,762,59,H,0
M,5,854,82,750,71,H,0
M,6,506,64,767,54,A,0
M,6,521,100,632,76,H,0
M,6,522,79,833,70,N,0
M,6,529,69,549,67,A,0
M,6,538,88,690,78,N,0
M,6,576,86,692,70,H,0
M,6,581,72,740,55,H,0
M,6,592,93,792,65,H,0
M,6,606,99,791,85,A,0
M,6,607,77,680,54,H,0
M,6,610,72,802,55,N,0
M,6,612,90,716,60,N,0
M,6,623,63,712,55,H,0
M,6,633,79,759,63,H,0
M,6,636,85,677,62,H,0
M,6,653,89,728,68,H,0
M,6,659,89,570,78,H,0
M,6,662,79,710,50,H,0
M,6,670,72,531,57,H,0
M,6,693,96,618,71,N,0
M,6,714,75,663,68,H,0
M,6,723,64,747,54,H,0
M,6,725,80,727,64,H,0
M,6,731,69,780,58,H,0
M,6,732,73,645,62,N,0
M,6,736,59,544,57,H,0
M,6,739,85,611,79,H,2
M,6,746,79,689,67,H,0
M,6,752,50,587,49,A,0
M,6,754,89,597,72,A,0
M,6,764,89,679,81,H,1
M,6,783,67,757,48,H,0
M,6,809,63,699,60,H,0
M,6,830,90,828,72,H,0
M,6,836,70,730,65,N,0
M,6,849,83,630,55,H,0
M,7,513,71,652,40,A,0
M,7,517,64,750,49,A,0
M,7,527,68,590,62,H,0
M,7,546,84,510,78,H,0
M,7,551,91,598,46,H,0
M,7,558,47,571,41,N,0
M,7,577,86,702,61,H,0
M,7,578,93,837,63,H,0
M,7,591,60,523,57,A,0
M,7,595,92,600,67,H,0
M,7,625,99,547,79,H,0
M,7,642,76,785,68,A,1
M,7,655,72,761,62,H,0
M,7,660,66,823,55,H,0
M,7,662,70,610,64,H,0
M,7,676,87,537,76,H,0
M,7,701,92,582,57,H,0
M,7,717,82,648,50,H,0
M,7,720,91,844,68,H,0
M,7,721,99,508,59,H,0
M,7,725,97,836,88,H,0
M,7,727,84,730,76,N,0
M,7,729,74,777,64,H,0
M,7,746,73,694,48,H,0
M,7,769,103,550,42,H,0
M,7,775,97,524,80,H,0
M,7,779,86,588,66,N,0
M,7,786,97,766,89,H,0
M,7,793,58,820,37,H,0
M,7,801,66,545,60,A,0
M,7,802,83,710,66,N,0
M,7,810,83,855,52,H,0
M,7,819,79,808,58,H,0
M,8,504,90,667,83,A,0
M,8,511,76,713,69,H,0
M,8,518,74,638,62,H,0
M,8,534,76,771,69,H,0
M,8,553,85,540,76,H,0
M,8,555,61,541,47,A,0
M,8,572,76,852,65,H,0
M,8,602,56,552,47,H,0
M,8,607,80,620,43,H,0
M,8,616,67,589,54,A,0
M,8,649,80,707,67,H,0
M,8,653,71,509,67,H,0
M,8,654,72,579,65,A,0
M,8,669,59,853,57,H,0
M,8,671,86,548,53,H,0
M,8,674,81,768,78,H,0
M,8,676,79,596,55,H,0
M,8,681,74,647,56,H,0
M,8,682,61,834,49,H,0
M,8,699,77,807,68,A,0
M,8,720,68,558,54,H,0
M,8,743,67,583,65,A,1
M,8,765,70,632,55,H,0
M,8,766,88,588,66,N,0
M,8,781,94,563,66,H,0
M,8,786,72,779,69,H,0
M,8,788,76,742,49,H,0
M,8,794,67,724,53,H,0
M,8,805,86,784,49,H,0
M,8,813,76,641,69,A,0
M,8,821,77,614,64,N,0
M,8,824,77,787,62,N,0
M,8,827,77,798,70,A,0
M,8,840,88,706,47,H,0
M,8,841,86,526,74,A,0
M,8,844,70,571,50,N,0
M,8,846,61,514,56,H,0
M,8,855,69,842,66,N,0
M,9,507,63,544,60,A,1
