season,daynum,wteam,wscore,lteam,lscore,wloc,numot
O,7,539,75,687,70,H,0
O,7,708,88,594,72,H,0
O,7,720,100,508,60,H,0
O,7,786,75,507,43,H,0
O,9,539,95,574,61,H,0
O,9,708,89,694,42,H,0
O,9,786,100,745,60,H,0
O,10,695,69,605,53,H,0
O,10,720,72,635,44,H,0
O,11,510,79,816,68,H,0
O,11,512,87,834,35,H,0
O,11,515,130,508,68,H,0
O,11,518,69,704,65,H,0
O,11,520,88,826,78,H,0
O,11,521,86,707,58,H,0
O,11,522,74,733,67,N,0
O,11,526,90,652,87,N,0
O,11,527,89,567,58,H,0
O,11,531,68,776,64,A,0
O,11,536,70,530,60,H,0
O,11,546,86,814,70,H,0
O,11,551,84,735,41,H,0
O,11,553,70,554,59,H,0
O,11,556,88,514,72,H,0
O,11,557,91,806,73,N,0
O,11,559,75,847,66,H,0
O,11,577,96,815,62,H,0
O,11,578,85,705,62,H,0
O,11,589,67,544,58,H,0
O,11,602,76,645,72,H,0
O,11,603,74,801,58,A,0
O,11,604,67,703,59,H,0
O,11,612,87,616,77,A,0
O,11,613,65,774,48,H,0
O,11,620,94,821,87,A,0
O,11,623,96,584,69,H,0
O,11,625,83,619,60,H,0
O,11,627,82,528,73,H,0
O,11,629,88,621,68,H,0
O,11,636,101,615,65,H,0
O,11,637,92,654,54,H,0
O,11,639,69,752,66,H,0
O,11,640,75,682,59,H,0
O,11,642,81,838,72,H,0
O,11,653,79,828,66,H,0
O,11,655,82,812,62,H,0
O,11,657,76,596,73,A,0
O,11,660,85,543,62,H,0
O,11,662,89,545,51,H,0
O,11,666,82,632,53,H,0
O,11,667,89,533,80,N,0
O,11,671,97,591,58,H,0
O,11,673,87,792,50,H,0
O,11,674,92,513,64,H,0
O,11,679,99,594,70,H,0
O,11,680,61,709,37,H,0
O,11,683,69,507,65,A,0
O,11,688,101,664,73,N,0
O,11,714,71,572,65,A,0
O,11,715,77,690,55,H,0
O,11,725,94,837,43,H,0
O,11,727,67,730,64,A,2
O,11,729,70,728,55,H,0
O,11,731,63,850,60,H,0
O,11,737,96,532,53,H,0
O,11,738,89,565,64,H,0
O,11,739,85,611,74,N,0
O,11,740,76,692,65,H,0
O,11,742,81,566,51,H,0
O,11,743,65,644,53,H,0
O,11,744,88,675,74,A,0
O,11,748,77,852,61,A,0
O,11,750,92,854,86,N,0
O,11,753,77,783,64,H,0
O,11,755,73,538,62,H,0
O,11,758,84,563,81,A,0
O,11,764,53,782,51,H,0
O,11,766,85,791,69,A,0
O,11,768,76,618,64,A,0
O,11,769,88,505,50,H,0
O,11,771,67,767,61,A,0
O,11,775,72,552,62,H,0
O,11,777,65,509,61,H,0
O,11,778,83,648,70,H,0
O,11,779,77,576,67,H,1
O,11,781,100,702,68,H,0
O,11,785,75,665,57,A,0
O,11,787,67,726,43,N,0
O,11,790,83,519,54,H,0
O,11,796,88,770,49,H,0
O,11,799,82,669,71,H,0
O,11,805,68,844,56,N,0
O,11,809,84,663,67,H,0
O,11,822,66,842,60,A,0
O,11,823,80,689,72,H,0
O,11,824,89,804,70,H,0
O,11,825,77,523,51,H,0
O,11,829,84,588,61,H,0
O,11,830,85,649,72,H,0
O,11,832,93,517,86,H,0
O,11,839,76,724,56,H,0
O,11,840,74,851,69,H,0
O,11,841,94,685,66,H,0
O,11,853,83,855,57,H,0
O,12,535,73,568,62,H,0
O,12,557,57,837,40,N,0
O,12,561,71,504,67,A,0
O,12,566,70,618,60,A,0
O,12,569,90,562,80,H,0
O,12,579,72,798,62,A,0
O,12,581,81,718,77,A,0
O,12,585,91,646,86,A,0
O,12,586,62,510,58,H,0
O,12,606,100,593,59,H,0
O,12,607,92,685,74,H,0
O,12,631,88,575,82,A,0
O,12,639,72,805,65,H,0
O,12,641,83,610,80,H,0
O,12,650,80,803,62,A,0
O,12,652,83,709,60,N,0
O,12,658,70,706,58,H,0
O,12,667,80,532,56,N,0
O,12,668,83,694,53,H,0
O,12,680,95,526,82,H,0
O,12,698,76,760,49,H,0
O,12,699,75,681,61,H,0
O,12,701,67,808,51,H,0
O,12,717,86,710,65,H,0
O,12,721,95,686,71,H,0
O,12,722,86,763,64,H,0
O,12,725,95,806,64,H,0
O,12,726,62,770,47,N,0
O,12,732,64,582,58,A,0
O,12,736,71,537,68,A,0
O,12,737,76,533,65,H,0
O,12,742,71,768,69,H,0
O,12,746,74,659,67,H,0
O,12,749,91,797,63,H,0
O,12,772,79,811,72,A,0
O,12,780,59,762,41,H,0
O,12,789,76,570,56,A,0
O,12,796,66,787,59,H,0
O,12,840,96,522,78,H,0
O,12,844,70,752,68,N,0
O,12,851,75,733,70,N,0
O,13,511,87,713,70,H,0
O,13,519,80,503,77,A,0
O,13,521,71,611,69,H,0
O,13,526,75,709,60,N,0
O,13,530,74,621,69,H,0
O,13,533,59,532,56,N,0
O,13,572,75,514,56,H,0
O,13,574,86,836,80,H,0
O,13,589,63,596,55,H,0
O,13,592,74,784,46,H,0
O,13,599,76,816,71,A,0
O,13,602,60,567,44,H,0
O,13,612,87,847,85,H,3
O,13,613,73,664,65,H,0
O,13,624,82,584,60,A,0
