season,daynum,wteam,wscore,lteam,lscore,wloc,numot
Q,7,511,73,826,64,H,0
Q,7,675,76,580,66,H,0
Q,7,778,74,847,59,H,0
Q,9,503,68,675,58,A,0
Q,9,511,67,578,59,H,0
Q,9,778,78,644,73,H,0
Q,9,794,81,645,59,H,0
Q,11,502,87,517,71,H,0
Q,11,504,64,710,44,H,0
Q,11,512,78,681,72,H,0
Q,11,515,83,760,63,H,0
Q,11,518,84,664,62,H,0
Q,11,521,77,804,57,H,0
Q,11,529,63,619,48,H,0
Q,11,534,72,782,65,H,0
Q,11,539,77,807,56,H,0
Q,11,540,82,618,68,H,0
Q,11,546,73,694,57,H,0
Q,11,551,65,601,44,H,0
Q,11,554,78,616,69,H,0
Q,11,557,64,680,58,H,0
Q,11,559,70,558,57,H,0
Q,11,562,97,693,65,H,0
Q,11,572,69,733,61,H,0
Q,11,573,91,803,72,H,0
Q,11,577,77,522,76,H,0
Q,11,581,68,622,57,H,0
Q,11,589,72,739,60,N,0
Q,11,592,99,632,59,H,0
Q,11,595,79,633,67,H,0
Q,11,597,55,624,47,H,0
Q,11,599,64,665,48,H,0
Q,11,602,92,741,90,H,1
Q,11,604,62,850,49,H,0
Q,11,606,92,593,59,H,0
Q,11,607,77,582,69,H,0
Q,11,615,89,648,71,H,0
Q,11,623,67,654,49,H,0
Q,11,625,96,785,66,H,0
Q,11,626,79,579,72,H,0
Q,11,628,96,548,53,H,0
Q,11,636,100,799,54,H,0
Q,11,637,72,545,67,H,0
Q,11,640,108,659,58,H,0
Q,11,641,79,642,53,H,0
Q,11,643,65,516,62,H,0
Q,11,651,83,797,48,H,0
Q,11,652,69,810,58,A,0
Q,11,660,91,686,37,H,0
Q,11,661,67,506,49,H,0
Q,11,663,85,585,67,H,0
Q,11,668,69,792,58,H,0
Q,11,672,80,519,71,H,0
Q,11,673,70,533,58,H,0
Q,11,674,60,812,38,H,0
Q,11,676,83,762,68,H,0
Q,11,678,68,699,46,A,0
Q,11,689,73,755,65,A,0
Q,11,692,78,649,70,A,0
Q,11,695,84,814,75,H,0
Q,11,698,65,770,48,H,0
Q,11,708,67,671,55,N,0
Q,11,712,82,528,74,A,1
Q,11,720,73,851,42,H,0
Q,11,721,78,621,74,H,0
Q,11,722,71,787,39,H,0
Q,11,728,59,813,45,A,0
Q,11,731,89,507,56,H,0
Q,11,738,96,690,34,H,0
Q,11,740,58,570,54,H,0
Q,11,743,66,509,56,H,0
Q,11,745,83,744,57,H,0
Q,11,746,62,567,56,H,0
Q,11,750,70,611,50,N,0
Q,11,754,75,532,63,H,0
Q,11,769,75,833,50,H,0
Q,11,774,76,806,75,N,0
Q,11,775,79,561,58,H,0
Q,11,779,72,835,61,A,0
Q,11,780,71,791,37,H,0
Q,11,783,91,542,52,H,0
Q,11,784,65,523,60,H,0
Q,11,788,73,591,72,H,0
Q,11,790,92,815,63,H,0
Q,11,796,90,800,85,H,0
Q,11,801,72,505,63,H,0
Q,11,802,65,513,49,H,0
Q,11,811,83,713,66,N,0
Q,11,818,66,565,59,H,0
Q,11,820,73,824,64,A,0
Q,11,822,69,536,62,H,0
Q,11,825,63,777,57,H,0
Q,11,826,90,600,81,A,0
