season,daynum,wteam,wscore,lteam,lscore,numot
A,136,515,86,729,80,NA
A,136,559,68,555,59,NA
A,136,576,75,666,63,NA
A,136,581,75,577,60,NA
A,136,604,81,551,74,NA
A,136,629,74,539,64,NA
A,136,640,110,756,72,NA
A,136,660,68,679,44,NA
A,136,663,92,809,70,NA
A,136,675,58,825,51,NA
A,136,736,43,810,41,NA
A,136,738,73,833,71,NA
A,136,783,66,530,58,NA
A,136,786,88,681,55,NA
A,136,821,72,541,43,NA
A,136,831,61,844,48,NA
A,137,511,90,826,51,NA
A,137,527,64,625,51,NA
A,137,549,66,815,61,NA
A,137,603,93,685,56,NA
A,137,606,90,519,79,NA
A,137,628,81,599,79,NA
A,137,636,92,747,54,NA
A,137,651,82,802,80,NA
A,137,701,69,637,48,NA
A,137,708,83,703,62,NA
A,137,758,91,662,79,NA
A,137,789,61,721,43,NA
A,137,793,80,670,76,NA
A,137,796,74,690,73,NA
A,137,829,92,732,58,NA
A,137,839,62,812,50,NA
A,138,515,65,660,56,NA
A,138,559,95,581,81,NA
A,138,604,76,738,69,NA
A,138,640,84,831,60,NA
A,138,663,79,783,74,NA
A,138,675,63,736,41,NA
A,138,786,69,576,58,NA
A,138,821,73,629,67,NA
A,139,511,87,628,73,NA
A,139,549,78,789,65,NA
A,139,603,73,701,62,NA
A,139,606,103,527,89,NA
A,139,636,76,758,51,NA
A,139,651,68,829,64,NA
A,139,796,92,708,73,NA
A,139,839,65,793,62,NA
A,143,603,98,796,90,NA
A,143,640,101,821,70,NA
A,143,663,79,515,63,NA
A,143,839,60,651,59,NA
A,144,549,87,606,70,NA
A,144,636,83,511,80,NA
A,144,675,60,559,55,NA
A,144,786,83,604,81,NA
A,145,640,83,839,63,NA
A,145,663,86,603,62,NA
A,146,675,73,549,63,NA
A,146,786,60,636,57,NA
A,152,640,81,663,74,NA
A,152,786,77,675,69,NA
A,154,640,76,786,67,NA
