season,daynum,wteam,wscore,lteam,lscore,numot
B,136,511,65,768,57,NA
B,136,527,73,826,66,NA
B,136,539,55,736,52,NA
B,136,549,86,535,69,NA
B,136,554,75,662,66,NA
B,136,556,80,625,62,NA
B,136,628,73,830,60,NA
B,136,629,69,624,57,NA
B,136,636,78,632,64,NA
B,136,640,92,680,54,NA
B,136,708,82,589,74,NA
B,136,738,83,741,76,NA
B,136,779,75,727,65,NA
B,136,810,109,545,75,NA
B,136,829,101,648,91,NA
B,136,853,80,827,68,NA
B,137,546,79,603,67,NA
B,137,547,73,604,70,NA
B,137,551,68,669,56,NA
B,137,560,78,769,65,NA
B,137,577,71,687,68,NA
B,137,623,90,818,77,NA
B,137,651,65,663,57,NA
B,137,673,78,795,46,NA
B,137,701,59,723,55,NA
B,137,737,81,660,59,NA
B,137,783,80,721,67,NA
B,137,789,62,674,40,NA
B,137,793,71,849,58,NA
B,137,802,81,528,52,NA
B,137,821,75,692,61,NA
B,137,839,68,781,46,NA
B,138,511,73,554,69,NA
B,138,539,75,829,68,NA
B,138,629,67,549,66,NA
B,138,636,75,738,61,NA
B,138,640,75,628,69,NA
B,138,708,73,556,56,NA
B,138,779,81,527,77,NA
B,138,810,96,853,83,NA
B,139,547,75,623,63,NA
B,139,551,65,802,59,NA
B,139,651,64,701,63,NA
B,139,673,76,789,57,NA
B,139,737,98,577,87,NA
B,139,783,72,839,66,NA
B,139,793,82,560,81,NA
B,139,821,77,546,58,NA
B,143,640,83,779,68,NA
B,143,673,90,551,84,NA
B,143,810,74,629,73,NA
B,143,821,82,783,77,NA
B,144,511,85,636,82,NA
B,144,651,78,793,63,NA
B,144,708,63,539,57,NA
B,144,737,71,547,65,NA
B,145,640,72,821,59,NA
B,145,673,80,810,72,NA
B,146,511,96,737,92,NA
B,146,708,97,651,74,NA
B,152,511,66,708,58,NA
B,152,640,78,673,69,NA
B,154,511,84,640,79,NA
