season,daynum,wteam,wscore,lteam,lscore,numot
C,136,511,99,705,60,NA
C,136,515,74,698,65,NA
C,136,546,77,622,62,NA
C,136,549,65,713,62,NA
C,136,559,93,588,85,NA
C,136,623,64,768,51,NA
C,136,624,82,790,81,NA
C,136,625,94,721,87,NA
C,136,662,82,822,68,NA
C,136,671,83,581,71,NA
C,136,708,88,692,52,NA
C,136,736,69,817,57,NA
C,136,743,62,769,61,NA
C,136,821,85,755,68,NA
C,136,840,69,853,68,NA
C,136,843,82,789,52,NA
C,137,574,66,778,64,NA
C,137,577,99,740,63,NA
C,137,595,96,788,87,NA
C,137,636,110,734,52,NA
C,137,640,82,747,67,NA
C,137,670,80,568,61,NA
C,137,701,79,535,62,NA
C,137,722,74,599,59,NA
C,137,738,95,570,56,NA
C,137,741,97,687,74,NA
C,137,780,51,663,46,NA
C,137,783,67,554,57,NA
C,137,786,63,627,61,NA
C,137,810,65,668,62,NA
C,137,826,70,674,69,NA
C,137,836,75,551,72,NA
C,138,511,82,624,49,NA
C,138,559,78,625,68,NA
C,138,662,67,623,61,NA
C,138,671,63,736,56,NA
C,138,708,93,546,83,NA
C,138,821,75,515,69,NA
C,138,840,81,743,66,NA
C,138,843,75,549,74,NA
C,139,577,79,722,73,NA
C,139,640,88,780,61,NA
C,139,738,80,574,65,NA
C,139,741,80,636,75,NA
C,139,783,83,836,65,NA
C,139,786,56,701,46,NA
C,139,810,85,670,82,NA
C,139,826,83,595,77,NA
C,143,511,87,662,79,NA
C,143,559,75,840,74,NA
C,143,708,73,671,58,NA
C,143,821,65,843,62,NA
C,144,577,80,786,67,NA
C,144,640,94,810,68,NA
C,144,741,74,826,68,NA
C,144,783,67,738,59,NA
C,145,708,75,559,64,NA
C,145,821,76,511,51,NA
C,146,640,86,577,84,NA
C,146,783,79,741,77,NA
C,152,640,86,783,85,NA
C,152,821,65,708,59,NA
C,154,640,78,821,69,NA
