season,daynum,wteam,wscore,lteam,lscore,numot
D,136,515,94,766,80,NA
D,136,518,80,848,41,NA
D,136,559,91,820,66,NA
D,136,562,62,651,58,NA
D,136,574,56,810,53,NA
D,136,592,75,728,61,NA
D,136,607,75,673,63,NA
D,136,625,108,599,88,NA
D,136,628,77,805,64,NA
D,136,662,82,826,60,NA
D,136,701,61,676,59,NA
D,136,720,72,687,58,NA
D,136,722,69,786,61,NA
D,136,778,69,752,43,NA
D,136,783,69,508,57,NA
D,136,842,76,708,74,NA
D,137,546,81,741,70,NA
D,137,549,72,602,48,NA
D,137,577,99,593,58,NA
D,137,636,95,587,74,NA
D,137,640,82,702,60,NA
D,137,668,75,642,54,NA
D,137,669,59,840,58,NA
D,137,671,76,686,53,NA
D,137,674,72,829,70,NA
D,137,678,43,849,32,NA
D,137,721,61,511,60,NA
D,137,738,58,793,54,NA
D,137,789,61,639,54,NA
D,137,790,62,570,52,NA
D,137,802,62,554,53,NA
D,137,821,80,516,58,NA
D,138,518,81,722,74,NA
D,138,559,78,701,56,NA
D,138,592,82,842,74,NA
D,138,607,82,783,74,NA
D,138,628,82,515,72,NA
D,138,662,75,562,63,NA
D,138,720,75,574,44,NA
D,138,778,86,625,61,NA
D,139,577,97,802,56,NA
D,139,640,92,636,88,NA
D,139,669,66,821,58,NA
D,139,671,74,674,66,NA
D,139,678,81,790,51,NA
D,139,721,85,546,72,NA
D,139,738,73,668,63,NA
D,139,789,64,549,54,NA
D,143,559,78,628,68,NA
D,143,607,73,592,72,NA
D,143,720,72,518,64,NA
D,143,778,76,662,62,NA
D,144,577,78,678,61,NA
D,144,640,58,669,43,NA
D,144,671,54,721,46,NA
D,144,789,77,738,55,NA
D,145,559,67,607,62,NA
D,145,720,77,778,74,NA
D,146,577,85,789,64,NA
D,146,671,73,640,66,NA
D,152,559,64,720,58,NA
D,152,577,68,671,62,NA
D,154,559,77,577,74,NA
