season,daynum,wteam,wscore,lteam,lscore,numot
E,136,511,71,632,47,NA
E,136,518,72,562,69,NA
E,136,607,77,651,66,NA
E,136,629,88,544,78,NA
E,136,640,85,775,80,NA
E,136,655,64,762,61,NA
E,136,662,74,627,59,NA
E,136,671,65,826,38,NA
E,136,721,74,848,50,NA
E,136,738,62,569,61,NA
E,136,778,61,713,56,NA
E,136,786,79,752,65,NA
E,136,793,77,626,61,NA
E,136,810,65,520,57,NA
E,136,821,48,780,45,NA
E,136,849,66,597,56,NA
E,137,549,64,816,47,NA
E,137,559,75,822,67,NA
E,137,577,82,643,55,NA
E,137,592,69,535,68,NA
E,137,623,68,728,58,NA
E,137,636,81,573,77,NA
E,137,668,75,515,71,NA
E,137,708,84,676,70,NA
E,137,720,87,510,61,NA
E,137,722,86,615,66,NA
E,137,730,77,625,57,NA
E,137,764,72,725,71,NA
E,137,783,84,747,65,NA
E,137,789,73,642,47,NA
E,137,790,63,811,58,NA
E,137,802,89,817,62,NA
E,138,607,82,778,76,NA
E,138,629,79,518,60,NA
E,138,655,72,793,67,NA
E,138,671,73,821,61,NA
E,138,738,66,721,62,NA
E,138,786,52,640,50,NA
E,138,810,105,662,70,NA
E,138,849,66,511,59,NA
E,139,577,69,636,64,NA
E,139,592,93,623,76,NA
E,139,668,75,720,62,NA
E,139,708,60,783,53,NA
E,139,722,75,730,67,NA
E,139,764,67,789,65,NA
E,139,790,65,559,51,NA
E,139,802,69,549,61,NA
E,143,629,80,810,56,NA
E,143,671,75,786,58,NA
E,143,738,75,607,66,NA
E,143,849,61,655,48,NA
E,144,592,87,577,78,NA
E,144,708,74,790,69,NA
E,144,722,68,764,66,NA
E,144,802,80,668,71,NA
E,145,671,75,629,64,NA
E,145,849,64,738,60,NA
E,146,592,77,722,65,NA
E,146,708,59,802,55,NA
E,152,592,71,708,59,NA
E,152,671,53,849,41,NA
E,154,671,89,592,76,NA
