season,daynum,wteam,wscore,lteam,lscore,numot
F,134,716,71,848,67,NA
F,136,527,68,774,65,NA
F,136,549,84,536,59,NA
F,136,577,95,679,52,NA
F,136,603,63,515,61,NA
F,136,605,50,849,49,NA
F,136,610,58,629,57,NA
F,136,628,69,562,56,NA
F,136,639,77,625,73,NA
F,136,640,72,616,68,NA
F,136,662,83,602,80,NA
F,136,676,70,604,68,NA
F,136,779,66,606,62,NA
F,136,783,89,815,60,NA
F,136,810,61,615,48,NA
F,136,818,69,722,54,NA
F,136,822,77,720,68,NA
F,137,511,101,579,76,NA
F,137,535,79,839,63,NA
F,137,546,70,790,63,NA
F,137,592,69,835,56,NA
F,137,597,82,539,70,NA
F,137,607,86,830,85,NA
F,137,623,96,716,54,NA
F,137,626,70,721,68,NA
F,137,636,99,565,75,NA
F,137,671,69,506,35,NA
F,137,674,72,627,70,NA
F,137,708,70,736,48,NA
F,137,717,83,853,71,NA
F,137,729,69,737,59,NA
F,137,786,79,613,69,NA
F,137,789,79,793,65,NA
F,138,549,66,639,43,NA
F,138,577,94,676,81,NA
F,138,603,76,610,57,NA
F,138,640,92,628,79,NA
F,138,662,79,605,60,NA
F,138,783,90,779,83,NA
F,138,810,75,822,50,NA
F,138,818,74,527,71,NA
F,139,511,73,535,52,NA
F,139,607,85,626,68,NA
F,139,623,79,546,61,NA
F,139,636,87,786,58,NA
F,139,671,81,597,65,NA
F,139,674,59,717,56,NA
F,139,729,82,708,74,NA
F,139,789,75,592,54,NA
F,143,577,76,810,63,NA
F,143,662,76,603,66,NA
F,143,783,78,549,65,NA
F,143,818,80,640,76,NA
F,144,511,66,674,56,NA
F,144,623,80,636,64,NA
F,144,671,77,607,62,NA
F,144,789,84,729,72,NA
F,145,577,79,818,69,NA
F,145,662,87,783,73,NA
F,146,511,87,623,81,NA
F,146,671,69,789,62,NA
F,152,511,80,671,61,NA
F,152,577,95,662,84,NA
F,154,577,82,511,72,NA
