season,daynum,wteam,wscore,lteam,lscore,numot
G,134,766,81,508,77,NA
G,136,504,86,590,78,NA
G,136,511,86,757,81,NA
G,136,577,84,848,37,NA
G,136,625,75,821,56,NA
G,136,636,70,616,59,NA
G,136,639,69,722,61,NA
G,136,640,83,826,68,NA
G,136,676,93,668,80,NA
G,136,717,82,546,63,NA
G,136,720,69,568,64,NA
G,136,725,81,680,62,NA
G,136,783,84,835,68,NA
G,136,802,71,660,69,NA
G,136,816,93,818,89,NA
G,136,839,83,730,74,NA
G,136,852,73,607,66,NA
G,137,539,82,728,75,NA
G,137,549,90,528,52,NA
G,137,559,78,610,67,NA
G,137,562,83,592,82,NA
G,137,604,85,687,68,NA
G,137,623,93,754,64,NA
G,137,662,85,766,70,NA
G,137,675,70,664,58,NA
G,137,695,69,671,58,NA
G,137,721,71,622,63,NA
G,137,731,71,544,54,NA
G,137,749,76,796,68,NA
G,137,793,70,527,57,NA
G,137,810,80,674,58,NA
G,137,849,80,778,70,NA
G,137,853,70,613,58,NA
G,138,511,68,852,60,NA
G,138,577,84,717,77,NA
G,138,625,76,816,67,NA
G,138,636,86,783,63,NA
G,138,639,71,504,58,NA
G,138,640,87,802,82,NA
G,138,676,83,720,67,NA
G,138,725,92,839,87,NA
G,139,559,77,695,74,NA
G,139,623,72,562,60,NA
G,139,662,87,849,57,NA
G,139,721,78,853,65,NA
G,139,731,63,539,50,NA
G,139,749,77,604,75,NA
G,139,793,68,675,64,NA
G,139,810,105,549,101,NA
G,143,625,74,577,73,NA
G,143,639,78,731,73,NA
G,143,676,82,810,73,NA
G,143,721,88,511,67,NA
G,144,559,71,749,59,NA
G,144,636,73,623,69,NA
G,144,662,78,640,68,NA
G,144,725,72,793,70,NA
G,145,625,81,639,69,NA
G,145,721,81,676,75,NA
G,146,636,104,725,86,NA
G,146,662,90,559,82,NA
G,152,625,73,721,64,NA
G,152,662,97,636,88,NA
G,154,662,64,625,52,NA
