season,daynum,wteam,wscore,lteam,lscore,numot
H,134,814,92,804,84,NA
H,136,511,80,828,51,NA
H,136,512,84,666,71,NA
H,136,537,79,562,73,NA
H,136,539,76,695,74,NA
H,136,559,58,536,53,NA
H,136,577,67,557,57,NA
H,136,607,74,549,69,NA
H,136,623,65,835,60,NA
H,136,636,64,822,61,NA
H,136,660,72,616,68,NA
H,136,676,72,749,71,NA
H,136,717,70,845,69,NA
H,136,721,71,747,54,NA
H,136,783,77,753,69,NA
H,136,802,84,569,71,NA
H,136,849,81,842,74,NA
H,137,518,65,779,63,NA
H,137,535,47,675,46,NA
H,137,592,85,751,55,NA
H,137,625,67,504,62,NA
H,137,640,95,631,64,NA
H,137,651,86,519,64,NA
H,137,662,75,816,73,NA
H,137,671,79,556,64,NA
H,137,722,77,728,63,NA
H,137,731,87,838,61,NA
H,137,738,80,655,56,NA
H,137,786,76,658,65,NA
H,137,793,82,814,61,NA
H,137,821,60,725,58,NA
H,137,839,76,586,73,NA
H,137,853,71,800,59,NA
H,138,511,96,607,95,NA
H,138,559,85,783,74,NA
H,138,577,86,537,60,NA
H,138,636,108,512,76,NA
H,138,660,101,676,92,NA
H,138,717,68,623,60,NA
H,138,721,74,539,65,NA
H,138,849,61,802,60,NA
H,139,518,68,839,62,NA
H,139,535,79,651,71,NA
H,139,640,74,821,54,NA
H,139,662,77,853,64,NA
H,139,671,68,592,46,NA
H,139,731,74,625,52,NA
H,139,786,68,722,56,NA
H,139,793,77,738,67,NA
H,143,511,88,717,71,NA
H,143,636,69,577,65,NA
H,143,640,63,849,57,NA
H,143,660,77,731,74,NA
H,144,671,60,662,58,NA
H,144,721,65,535,54,NA
H,144,786,79,518,78,NA
H,144,793,82,559,78,NA
H,145,636,78,511,75,NA
H,145,660,83,640,69,NA
H,146,786,63,721,47,NA
H,146,793,85,671,76,NA
H,152,636,94,660,61,NA
H,152,786,95,793,84,NA
H,154,786,81,636,78,NA
