season,daynum,wteam,wscore,lteam,lscore,numot
I,134,593,72,644,57,NA
I,136,504,65,749,64,NA
I,136,559,70,828,53,NA
I,136,573,76,569,69,NA
I,136,577,96,506,61,NA
I,136,607,76,826,49,NA
I,136,658,75,592,60,NA
I,136,662,86,824,83,NA
I,136,699,72,671,66,NA
I,136,708,63,502,52,NA
I,136,764,80,511,76,NA
I,136,779,82,645,63,NA
I,136,783,71,820,45,NA
I,136,786,80,536,75,NA
I,136,793,66,736,49,NA
I,136,796,76,546,73,NA
I,136,839,79,825,78,NA
I,137,527,58,821,51,NA
I,137,549,80,586,77,NA
I,137,606,65,714,60,NA
I,137,623,72,687,53,NA
I,137,636,78,622,53,NA
I,137,640,96,593,76,NA
I,137,666,59,769,43,NA
I,137,675,85,679,52,NA
I,137,695,61,811,52,NA
I,137,722,75,582,56,NA
I,137,727,66,737,58,NA
I,137,731,53,809,44,NA
I,137,805,102,840,100,NA
I,137,827,71,836,58,NA
I,137,849,76,743,64,NA
I,137,853,80,651,70,NA
I,138,504,70,783,67,NA
I,138,559,72,573,55,NA
I,138,577,90,764,62,NA
I,138,699,91,607,72,NA
I,138,779,70,796,65,NA
I,138,786,72,662,70,NA
I,138,793,78,708,75,NA
I,138,839,84,658,80,NA
I,139,606,57,527,54,NA
I,139,623,92,549,68,NA
I,139,636,78,727,63,NA
I,139,722,70,666,53,NA
I,139,731,59,849,55,NA
I,139,805,76,640,75,NA
I,139,827,75,695,73,NA
I,139,853,89,675,74,NA
I,143,504,80,786,71,NA
I,143,559,73,827,53,NA
I,143,722,63,731,51,NA
I,143,779,84,839,80,NA
I,144,577,72,623,62,NA
I,144,606,72,699,67,NA
I,144,636,100,805,74,NA
I,144,853,79,793,71,NA
I,145,559,87,504,71,NA
I,145,722,64,779,62,NA
I,146,577,66,853,63,NA
I,146,606,79,636,71,NA
I,152,559,79,577,78,NA
I,152,606,67,722,65,NA
I,154,559,82,606,73,NA
