season,daynum,wteam,wscore,lteam,lscore,numot
J,134,718,79,505,69,0
J,136,511,66,822,53,0
J,136,527,85,728,65,0
J,136,549,76,628,64,0
J,136,607,74,848,64,0
J,136,623,67,588,55,0
J,136,640,72,580,64,0
J,136,699,61,793,57,0
J,136,721,84,704,67,0
J,136,727,79,731,71,0
J,136,796,78,810,66,0
J,136,805,82,655,68,0
J,136,821,60,824,54,0
J,136,839,70,547,54,0
J,136,840,88,680,77,0
J,136,843,63,562,61,0
J,136,845,83,504,73,0
J,137,533,64,636,63,0
J,137,559,77,809,71,0
J,137,577,57,571,46,0
J,137,592,67,719,62,0
J,137,606,80,599,68,0
J,137,629,64,673,53,0
J,137,651,68,811,62,0
J,137,671,89,723,81,0
J,137,675,93,783,70,0
J,137,695,75,546,63,0
J,137,708,96,718,68,0
J,137,722,63,761,50,0
J,137,749,65,781,56,0
J,137,828,60,786,57,1
J,137,829,55,701,47,0
J,137,849,57,714,52,0
J,138,511,85,805,63,0
J,138,623,71,699,59,0
J,138,640,69,549,60,0
J,138,796,71,607,69,0
J,138,821,67,721,58,0
J,138,840,97,727,79,0
J,138,843,111,839,105,2
J,138,845,83,527,75,0
J,139,577,63,675,55,0
J,139,651,76,606,54,0
J,139,671,72,828,61,0
J,139,695,65,559,62,0
J,139,708,92,629,65,0
J,139,722,85,749,77,0
J,139,829,76,592,65,0
J,139,849,71,533,62,0
J,143,511,79,722,78,0
J,143,623,77,845,63,0
J,143,651,93,840,79,0
J,143,843,65,796,60,0
J,144,640,62,821,52,0
J,144,671,78,577,68,0
J,144,708,67,829,66,0
J,144,849,65,695,56,0
J,145,623,90,511,89,1
J,145,651,93,843,85,1
J,146,671,94,640,88,2
J,146,708,88,849,82,0
J,152,623,72,651,57,0
J,152,708,87,671,71,0
J,154,708,75,623,70,0
