season,daynum,wteam,wscore,lteam,lscore,numot
K,134,679,71,610,49,0
K,136,504,90,660,85,0
K,136,527,88,727,76,2
K,136,577,70,773,54,0
K,136,592,76,768,50,0
K,136,599,88,816,85,1
K,136,607,79,853,75,0
K,136,623,78,502,69,0
K,136,625,87,754,83,0
K,136,655,80,627,64,0
K,136,680,87,699,79,0
K,136,790,63,848,61,0
K,136,794,66,786,58,0
K,136,810,78,522,44,0
K,136,840,75,822,61,0
K,136,845,82,721,74,0
K,136,846,86,764,66,0
K,137,511,94,849,75,0
K,137,530,77,636,73,0
K,137,533,59,515,55,0
K,137,559,72,507,59,0
K,137,602,75,671,65,0
K,137,603,54,714,49,0
K,137,640,69,805,64,0
K,137,666,94,724,78,0
K,137,695,58,539,52,0
K,137,708,69,687,65,0
K,137,716,64,628,63,0
K,137,720,70,568,62,0
K,137,731,79,639,64,0
K,137,793,60,728,52,0
K,137,829,58,679,45,0
K,137,843,64,749,46,0
K,138,527,69,680,56,0
K,138,577,74,599,61,0
K,138,592,82,845,60,0
K,138,607,90,625,80,0
K,138,655,58,794,57,0
K,138,810,62,504,59,0
K,138,840,67,623,64,0
K,138,846,80,790,73,0
K,139,530,72,731,66,0
K,139,559,87,640,83,0
K,139,602,65,708,60,0
K,139,603,70,720,52,0
K,139,666,72,533,56,0
K,139,793,75,695,54,0
K,139,829,82,511,78,0
K,139,843,67,716,54,0
K,143,655,62,577,54,0
K,143,666,80,530,64,0
K,143,793,74,843,71,0
K,143,810,73,607,71,0
K,144,559,98,840,92,1
K,144,592,57,603,53,0
K,144,602,63,846,55,0
K,144,829,60,527,59,1
K,145,655,70,793,60,1
K,145,810,50,666,45,0
K,146,592,75,829,62,0
K,146,602,86,559,84,1
K,152,592,73,602,58,0
K,152,810,59,655,45,0
K,154,592,73,810,57,0
