season,daynum,wteam,wscore,lteam,lscore,numot
L,134,704,77,593,69,0
L,136,527,84,796,75,0
L,136,535,57,723,46,0
L,136,603,80,522,55,0
L,136,625,70,607,57,0
L,136,651,78,783,58,0
L,136,662,82,568,70,0
L,136,671,61,660,49,0
L,136,708,86,580,65,0
L,136,720,78,544,57,0
L,136,731,79,851,58,0
L,136,794,68,728,52,0
L,136,810,70,842,42,0
L,136,825,79,577,77,0
L,136,827,77,599,44,0
L,136,841,70,724,54,0
L,136,853,79,536,77,0
L,137,592,112,632,69,0
L,137,636,107,704,67,0
L,137,640,67,829,58,0
L,137,666,73,711,58,0
L,137,699,77,562,71,1
L,137,725,58,669,56,0
L,137,738,72,511,63,0
L,137,749,61,616,51,0
L,137,790,121,647,86,0
L,137,793,79,702,67,0
L,137,817,67,606,63,0
L,137,818,77,515,60,0
L,137,830,84,507,57,0
L,137,831,54,623,52,0
L,137,848,74,717,64,0
L,137,849,76,787,63,0
L,138,535,62,662,59,0
L,138,603,62,527,55,0
L,138,708,81,671,67,0
L,138,720,78,853,71,1
L,138,731,84,825,79,1
L,138,794,72,651,69,0
L,138,810,54,625,49,0
L,138,827,78,841,74,2
L,139,592,74,738,67,0
L,139,636,88,640,76,0
L,139,666,78,699,62,0
L,139,725,75,848,61,0
L,139,749,63,831,48,0
L,139,790,77,830,74,0
L,139,817,74,849,68,0
L,139,818,87,793,68,0
L,143,636,61,749,58,0
L,143,666,65,794,64,0
L,143,720,85,790,84,0
L,143,810,64,731,55,0
L,144,592,65,535,57,0
L,144,603,66,827,65,0
L,144,708,74,818,64,0
L,144,725,76,817,72,0
L,145,720,92,666,76,0
L,145,810,68,636,55,0
L,146,592,85,725,77,0
L,146,603,96,708,84,1
L,152,592,76,810,66,0
L,152,720,67,603,60,0
L,154,592,84,720,75,0
