season,daynum,wteam,wscore,lteam,lscore,numot
M,134,686,69,560,60,0
M,136,577,71,522,70,0
M,136,636,85,733,61,0
M,136,637,80,818,67,0
M,136,660,74,640,66,0
M,136,671,72,789,61,0
M,136,717,68,602,50,0
M,136,731,82,724,63,0
M,136,738,90,521,79,0
M,136,783,77,561,53,0
M,136,794,67,536,62,0
M,136,810,70,685,29,0
M,136,817,71,639,58,0
M,136,841,71,848,40,0
M,136,843,75,511,65,0
M,136,849,71,564,56,0
M,136,853,73,604,61,0
M,137,515,86,625,72,0
M,137,535,81,768,61,0
M,137,568,82,607,76,0
M,137,603,66,813,47,0
M,137,651,79,526,61,0
M,137,666,87,819,63,0
M,137,668,78,781,64,0
M,137,675,76,725,69,0
M,137,708,113,686,74,0
M,137,721,72,779,64,0
M,137,753,70,559,69,1
M,137,766,83,827,62,0
M,137,790,72,509,57,0
M,137,793,74,519,54,0
M,137,829,75,551,69,0
M,137,835,101,575,99,1
M,138,636,75,817,56,0
M,138,671,65,731,54,0
M,138,783,82,660,81,1
M,138,810,51,794,49,0
M,138,841,61,717,41,0
M,138,843,73,577,67,0
M,138,849,72,637,55,0
M,138,853,85,738,78,0
M,139,568,74,603,70,0
M,139,651,78,721,48,0
M,139,666,77,675,74,0
M,139,708,108,515,77,0
M,139,790,76,535,71,1
M,139,793,75,668,72,0
M,139,829,84,766,72,0
M,139,835,72,753,63,0
M,143,651,79,790,60,0
M,143,708,68,841,47,0
M,143,810,88,835,78,0
M,143,853,79,843,75,1
M,144,568,73,849,56,0
M,144,636,72,829,57,0
M,144,666,92,671,74,0
M,144,793,82,783,62,0
M,145,708,83,651,73,0
M,145,810,76,853,57,0
M,146,636,59,568,57,0
M,146,666,85,793,67,0
M,152,636,84,708,66,0
M,152,666,78,810,63,0
M,154,636,75,666,68,1
