season,daynum,wteam,wscore,lteam,lscore,numot
N,134,682,58,506,43,0
N,136,559,103,547,47,0
N,136,577,86,524,62,0
N,136,607,77,503,64,0
N,136,655,75,535,71,0
N,136,662,84,539,71,0
N,136,666,81,565,70,0
N,136,670,62,551,59,0
N,136,708,101,740,58,0
N,136,721,82,683,54,0
N,136,738,61,714,56,0
N,136,793,76,673,62,0
N,136,794,79,536,66,0
N,136,810,65,825,64,0
N,136,829,80,509,67,0
N,136,835,76,623,72,0
N,136,840,71,675,58,0
N,137,511,84,821,71,0
N,137,512,66,789,57,0
N,137,552,84,839,69,0
N,137,569,68,843,60,0
N,137,636,84,689,74,0
N,137,651,74,682,54,0
N,137,660,58,822,57,0
N,137,671,77,745,62,0
N,137,676,78,561,59,0
N,137,722,77,790,75,0
N,137,731,72,586,62,0
N,137,766,74,720,72,2
N,137,786,59,765,44,0
N,137,818,72,527,55,0
N,137,849,61,595,59,1
N,137,853,77,733,59,0
N,138,559,92,794,66,0
N,138,577,74,793,69,0
N,138,607,83,835,81,0
N,138,666,89,662,70,0
N,138,708,84,655,70,0
N,138,721,73,670,63,0
N,138,738,76,840,74,0
N,138,829,89,810,69,0
N,139,511,71,552,57,0
N,139,636,60,569,43,0
N,139,651,79,766,72,0
N,139,671,74,818,69,0
N,139,676,83,660,79,0
N,139,731,84,722,76,0
N,139,786,78,512,67,0
N,139,853,60,849,49,0
N,143,559,72,738,60,0
N,143,676,102,666,91,0
N,143,731,60,853,55,0
N,143,829,77,577,54,0
N,144,651,103,511,64,0
N,144,671,67,636,62,0
N,144,708,98,607,77,0
N,144,721,84,786,71,0
N,145,559,82,676,75,0
N,145,829,78,731,76,0
N,146,671,64,651,52,0
N,146,708,72,721,60,0
N,152,671,82,559,73,0
N,152,708,83,829,69,0
N,154,708,89,671,72,0
