season,daynum,wteam,wscore,lteam,lscore,numot
O,134,514,61,848,44,0
O,136,521,68,751,59,0
O,136,535,77,824,59,0
O,136,536,99,592,92,2
O,136,636,90,644,74,0
O,136,637,82,711,62,0
O,136,640,100,586,71,0
O,136,687,66,827,65,0
O,136,701,62,680,57,0
O,136,714,69,817,66,0
O,136,719,97,603,83,0
O,136,723,51,717,50,0
O,136,781,80,743,71,0
O,136,790,62,754,59,0
O,136,829,73,745,70,1
O,136,839,81,793,80,1
O,136,840,80,660,78,0
O,137,539,77,651,62,0
O,137,561,78,789,65,0
O,137,577,73,514,44,0
O,137,606,64,722,59,0
O,137,607,67,595,60,0
O,137,662,89,617,77,0
O,137,671,70,702,67,0
O,137,676,86,551,78,0
O,137,720,68,757,51,0
O,137,731,89,718,66,0
O,137,738,72,766,64,0
O,137,786,79,828,56,0
O,137,794,69,822,53,0
O,137,843,77,683,50,0
O,137,849,53,850,49,0
O,137,853,65,673,54,0
O,138,521,76,723,68,0
O,138,535,54,687,52,0
O,138,637,84,536,72,0
O,138,640,90,839,60,0
O,138,714,69,636,67,0
O,138,781,75,829,68,0
O,138,790,83,719,68,0
O,138,840,82,701,64,0
O,139,561,87,849,69,0
O,139,577,68,539,53,0
O,139,671,85,662,83,0
O,139,720,75,606,66,0
O,139,738,63,794,61,1
O,139,786,87,607,65,0
O,139,843,68,676,59,0
O,139,853,71,731,68,0
O,143,535,63,786,59,0
O,143,637,101,853,96,2
O,143,640,62,561,45,0
O,143,843,69,840,56,0
O,144,521,72,781,49,0
O,144,577,70,738,57,0
O,144,671,59,714,52,0
O,144,790,76,720,73,0
O,145,535,63,637,56,0
O,145,843,73,640,66,0
O,146,577,78,521,71,0
O,146,671,70,790,69,0
O,152,535,52,671,50,0
O,152,577,78,843,57,0
O,154,577,61,535,59,0
