season,daynum,wteam,wscore,lteam,lscore,numot
P,134,551,70,805,52,0
P,134,814,81,513,77,1
P,135,820,70,506,61,0
P,135,825,59,818,46,0
P,136,535,60,723,58,0
P,136,536,74,850,66,0
P,136,549,78,676,63,0
P,136,559,81,533,52,0
P,136,592,79,757,51,0
P,136,607,86,778,71,0
P,136,637,73,822,68,0
P,136,640,59,736,57,0
P,136,682,62,651,61,0
P,136,731,74,814,51,0
P,136,743,69,827,66,0
P,136,754,68,688,50,0
P,136,789,66,729,64,0
P,136,810,78,671,76,0
P,136,843,84,551,76,0
P,136,849,72,522,58,0
P,137,511,77,666,75,0
P,137,577,87,610,45,0
P,137,595,57,794,50,0
P,137,602,61,829,57,0
P,137,623,73,817,62,0
P,137,636,72,528,53,0
P,137,660,66,853,55,0
P,137,670,75,790,45,0
P,137,708,102,648,87,0
P,137,717,69,503,56,0
P,137,720,75,820,46,0
P,137,738,65,782,43,0
P,137,786,77,626,60,0
P,137,793,85,718,81,0
P,137,825,74,603,56,0
P,137,840,68,604,65,0
P,138,535,71,731,70,0
P,138,536,89,607,67,0
P,138,559,69,549,58,0
P,138,592,73,810,65,0
P,138,640,71,843,63,0
P,138,743,65,682,48,0
P,138,754,71,789,64,2
P,138,849,70,637,65,0
P,139,511,70,793,69,0
P,139,577,73,670,71,0
P,139,595,71,717,57,0
P,139,636,73,623,59,0
P,139,660,66,786,62,0
P,139,708,86,840,83,0
P,139,720,98,602,66,0
P,139,825,94,738,76,0
P,143,511,93,577,77,0
P,143,535,61,849,54,0
P,143,559,74,754,67,0
P,143,592,83,536,74,1
P,144,636,77,743,57,0
P,144,640,62,720,60,0
P,144,708,81,660,63,0
P,144,825,72,595,71,1
P,145,535,74,592,71,1
P,145,559,65,511,63,0
P,146,640,76,708,69,0
P,146,825,71,636,61,0
P,152,535,70,825,62,0
P,152,559,56,640,55,0
P,154,559,53,535,41,0
