season,daynum,wteam,wscore,lteam,lscore,numot
R,134,693,73,645,72,0
R,134,781,67,672,54,0
R,135,635,68,648,55,0
R,135,641,80,526,71,0
R,136,511,81,522,64,0
R,136,535,68,533,56,0
R,136,539,64,817,61,0
R,136,557,84,676,72,0
R,136,607,64,773,58,0
R,136,612,68,701,62,0
R,136,651,79,693,48,0
R,136,660,59,568,58,0
R,136,666,54,781,52,0
R,136,670,71,748,56,0
R,136,671,65,826,54,0
R,136,725,68,722,55,0
R,136,780,64,702,44,0
R,136,786,81,680,34,0
R,136,825,88,503,42,0
R,136,846,73,731,55,0
R,137,562,67,549,63,0
R,137,577,73,507,61,0
R,137,591,78,603,68,0
R,137,592,79,716,47,0
R,137,623,57,556,49,0
R,137,625,83,635,62,0
R,137,629,76,717,58,0
R,137,636,64,835,57,0
R,137,641,63,637,61,0
R,137,668,78,727,49,0
R,137,673,83,810,63,0
R,137,674,57,849,46,0
R,137,708,78,829,71,0
R,137,720,95,627,70,0
R,137,754,70,721,55,0
R,137,789,76,695,72,0
R,138,511,74,612,51,0
R,138,651,82,557,56,0
R,138,660,74,535,72,0
R,138,670,78,825,53,0
R,138,671,70,666,48,0
R,138,725,74,780,57,0
R,138,786,66,539,60,0
R,138,846,76,607,70,0
R,139,577,66,562,50,0
R,139,591,81,754,71,0
R,139,592,78,673,64,0
R,139,625,58,789,52,0
R,139,636,70,708,58,0
R,139,641,76,674,74,0
R,139,668,63,623,59,0
R,139,720,78,629,75,0
R,143,660,71,668,61,0
R,143,720,73,511,70,0
R,143,786,61,625,50,0
R,143,846,72,641,58,0
R,144,577,71,671,61,0
R,144,592,62,591,50,0
R,144,651,77,725,69,0
R,144,670,87,636,85,1
R,145,786,55,660,39,0
R,145,846,70,720,66,0
R,146,651,85,577,63,0
R,146,670,79,592,59,0
R,152,651,72,846,68,0
R,152,670,61,786,56,0
R,154,651,82,670,76,0
